Pl   Team                      P    W   D   L    GF   GA   GD   Pts Form
--------------------------------------------------------------------------
1    Barnsley                  1    1   0   0     3    0    3     3 -----W
2    West_Ham                  1    1   0   0     2    0    2     3 -----W
3    Liverpool                 1    1   0   0     1    0    1     3 -----W
4    Manchester_United         1    1   0   0     1    0    1     3 -----W
5    Portsmouth                1    0   1   0     2    2    0     1 -----D
6    Sunderland                1    0   1   0     2    2    0     1 -----D
7    Bolton_Wanderers          1    0   1   0     0    0    0     1 -----D
8    Everton                   1    0   1   0     0    0    0     1 -----D
9    Leicester_City            1    0   0   1     0    1   -1     0 -----L
10   Newcastle_United          1    0   0   1     0    1   -1     0 -----L
11   Wrexham                   1    0   0   1     0    2   -2     0 -----L
12   AFC_Bournemouth           1    0   0   1     0    3   -3     0 -----L

