Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Andre_Onana   31 cam 26  1  2  1 32 679 592 546 680   4   0  380   0  33   3   0   0   0   0   0   0   0   0 100
M_Hermansen   25 fra 19  1  1  1 20 272 805 305 305   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_M_Diouf     21 sen  1 19  6  5 20 483 430 123 881   4   0  380   0   0   0   2   0   1   0   0   2   0   0 100
J_C_Todibo    26 fra  1 18  5  2 36 570 929 532 582   4   0  380   0   0   0   4   2   3   0   0   4   0   0 100
Tomas_Araujo  25 por  2 18 11  4 34 426 121 666 424   4   0  365   0   0   0   2   4   1   0   0  10   0   1 100
K_Mavropanos  28 GRE  1 18  6  1 38 460 253 115 470   4   0  210   0   0   0   4   3   0   0   0   2   0   0 100
A_Wan_Bissaka 28 con  1 17  5  5 16 423 979 831 641   4   4  170   0   0   0   3   1   4   0   0   0   0   0 100
K_W_Peters    28 eng  1 17  5  4 22 712 784 871 442   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Scarles     20 eng  1 16  4  4 20 110 351 900 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ezra_Meyers   19 eng  1 15  5  1 36 220 671  71 730   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Dantas      26 por  1  6 22  5 36 640 332 509  76   4   0  380   1   0   0   0  17   3   0   4   2   0   0 100
I_H-Aaroen    22 nor  1  6 20  9 22 635 772 173 688   4   0  380   0   0   0   0  12   0   0   0   2   0   0 100
M_Fernandes   21 POR  1  5 20  7 20 305  28 484 150   4   0  380   0   0   0   1  11   3   0   0   0   0   0 100
S_Magassa     22 fra  1  6 18  2 38 110 112 390 397   4   4  130   0   0   0   1   3   2   1   0   0   0   0 100
T_Soucek      31 cez  1  7 18  4 39 310 115 149 672   4   0  250   0   0   0   0   6   4   0   0   2   0   0 100
Freddie_Potts 22 eng  1  5 17  3 37 305 839 589  99   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Leonardo    24 bra  1  3  6 25 24 436 331 714 898   4   0  380   2   0   0   1   0  31   3   0   0   0   0 100
Luis_Semedo   23 por  2  4  6 19 22 180 573 338 730   3   1  139   0   0   0   0   1   6   1   0   0   0   0 100
T_Castellanos 27 arg  1  4  6 19 30 593 960 719 213   1   1   22   0   0   0   0   0   0   0   0   2   0   0 100
Jarod_Bowen   29 eng  1  1  6 19 20 916 225 389 141   4   2  219   0   0   0   0   2   6   1   0   2   0   0 100
Adama_Traore  30 spa  1  1  6 18 20 343 945  47 280   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pablo         22 bra  1  4  6 17 28 472  64 136 722   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Callum_Wilson 34 eng  1  3  6 16 32 110 550 976 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
