Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Henderson   29 eng 21  1  1  1 20  27 798 318 318   4   0  383   0  36   6   0   0   0   0   0   0   0   0 100
A_Okonkwo     24 eng 17  1  1  1 20 491 120 120 120   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Callum_Doyle  22 eng  1 17  6  1 36 110 420 108 370   4   0  383   0   0   0   4   3   1   0   0   2   0   0  74
Max_Cleworth  23 eng  1 17  5  1 34 200 261 960 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Issa_Kabore   24 bur  1 17  6  5 20  90 381  81 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Mitchell    27 eng  1 17  6  2 32 315  91 307 716   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Zak_Vyner     28 ken  1 17  5  1 38 110  33 771 672   4   0  383   0   0   0   6   1   2   0   0   0   0   0  74
M_Lacroix     26 fra  1 17  6  2 34 315   7 596  87   4   0  383   0   0   0   5   2   0   0   0   2   0   0  74
Ben_Sheaf     28 eng  1  5 17  2 36 220 885 961 587   4   0  383   0   0   0   1   9   3   0   0   0   0   0  74
Lewis_O'Brien 27 eng  1  5 17  3 32 190 908 170 795   4   0  350   0   0   0   2  11   2   0   1   2   0   0  80
G_Thomasson   25 eng  1  4 17  4 28 220 928 196 747   4   0  383   0   0   0   3   5   6   1   0   0   0   0  74
George_Dobson 28 eng  1  6 17  2 34 180  70  15 305   4   0  284   0   0   0   1   4   0   0   0   4   0   0 100
Hugo_Ekitike  25 fra  1  4  6 20 28 237  90 402 978   4   0  356   1   0   0   1   1  19   3   0   0   0   0  81
Jean_Mateta   29 fra  1  3  4 18 24 315 665 908  53   1   0   96   0   0   0   1   1   4   1   0   0   0   0  93
Eddie_Nketiah 27 eng  1  2  5 17 22 315 705 961 876   4   0  383   0   0   0   0   3   6   0   0   0   0   0  74
N_Broadhead   27 wal  1  1  5 17 20 110 320 771  27   3   3   84   0   0   0   0   1   4   1   0   0   0   0 100
Ryan_Longman  25 eng  1  1  5 17 18 230 347 757  84   4   4  132   0   0   0   0   0   2   0   0   0   0   0 100
Kieffer_Moore 33 wal  1  3  5 16 30 190 177 799 961   3   0  230   0   0   0   0   2   4   0   0   2   0   0 100
