Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Maignan     31 fra 18  2  2  1 24 198 351 343 411   4   0  380   0  21   5   0   0   0   0   0   0   0   0 100
L_Torriani    21 ita 14  1  1  1 20 283 255 555 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isak_Hien     27 SWE  1 19  6  1 38 220 152 818 725   4   0  380   0   0   0   6   3   0   0   1   4   0   0  74
M_v_der_Ven   26 hol  1 17  7  6 28 708  62  69 399   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Pavlovic    25 ser  1 17  6  1 38 325  88 124 950   4   0  380   0   0   0   8   3   0   0   0   0   0   0  74
Malick_Thiaw  25 GER  1 17  5  1 38 307 223 282 661   4   0  380   0   0   0   7   2   0   0   0   0   0   0  74
F_Tomori      28 eng  1 16  5  1 36 321 165 632 473   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matteo_Gabbia 27 ita  1 14  4  5 21 308 580 629 546   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adam_Wharton  22 eng  1  4 19  5 28 110 717 275 900   4   0  380   0   0   0   1   8   4   0   0   2   0   0  74
F_Valverde    26 arg  2  3 18  8 27 110 958  17 841   1   0   62   0   0   0   0   0   0   0   0   0   0   0 100
Amine_Harit   29 mor  1  2 17  6 22 352 332 139 847   4   0  380   0   0   0   2   7   5   0   0   0   0   0  74
S_Ricci       25 ita  1  7 17  3 36 236  68  96 609   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Shopov      23 bul  2  6 17  7 28  31 669 922 540   1   0   94   0   0   0   0   1   1   0   0   0   0   0  93
Charlie_Gray  22 eng  1  6 17  3 36 507 855 872 893   1   1   32   0   0   0   0   2   0   0   0   0   0   0 100
Y_Fofana      27 fra  1  6 16  3 36 385 347 602 566   4   0  348   0   0   0   0   7   1   1   0   0   0   0  84
Yunus_Musah   24 usa  1  5 15  3 24 454 588 821 767   3   3   98   0   0   0   1   0   1   0   0   0   0   0 100
B_Sesko       23 slo  1  4  6 19 22 510 256 872 988   4   0  298   1   0   0   0   0   9   2   0   0   0   0  97
A_Pinamonti   26 ita  1  4  7 19 26 120 607 204 328   4   0  380   1   0   0   1   7  20   2   0   0   0   0  74
N_Krstovic    25 mon  1  3  6 19 26 180 890 154  10   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Felix    27 por  2  3  6 16 28 136 558 483 987   1   1   27   0   0   0   0   0   1   0   0   0   0   0 100
Tammy_Abraham 29 eng  1  3  5 16 26 326 578 301  54   2   2   55   0   0   0   1   0   2   0   0   0   0   0 100
