Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
P_Kohn        29 ger 31  2  2  1 32 816  67 523 901   1   0   97   0  10   1   0   0   0   0   0   0   0   0 100
M_Carnesecchi 25 ita 19  1  1  1 22 151 110 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isak_Hien     27 swe  1 19  5  1 36 110  82 870 480   1   0   97   0   0   0   1   0   1   1   0   0   0   0  91
G_Scalvini    22 ita  1 19  5  1 38 220 151 850 440   1   1   24   0   0   0   0   0   0   0   0   0   0   0 100
A_Ahanor      18 ita  1 19  6  1 39  90 661  61 630   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Kossounou   25 ivo  1 19  5  1 36 110 261 950 360   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Kimpembe    31 FRA  1 17  8  4 39 973 492 613 251   1   0   73   0   0   0   0   0   0   0   0   0   0   0 100
S_Kolasinac   32 bos  1 16  6  2 35 110 782 788 448   1   0   97   0   0   0   1   2   0   0   0   2   0   0  91
M_Skriniar    32 slv  1 15  7  3 34 804 694 150 930   1   0   97   0   0   0   1   2   0   0   0   0   0   0  91
Sekou_Kone    21 sen  1  8 23  5 36 922 484 116 348   1   0   97   0   0   0   1   5   1   0   0   0   0   0  91
Ederson       26 bra  1  5 21  5 32 110 850 161 688   1   0   97   0   0   0   0   2   2   0   0   0   0   0  91
R_Bellanova   25 ita  1  2 21  5 20 220 320 166 892   1   0   97   0   0   0   0   3   1   1   0   0   0   0  91
N_Zalewski    24 pol  1  2 20  5 18 110 210 267 960   1   1   19   0   0   0   0   1   0   0   0   0   0   0 100
L_Bernasconi  22 ita  1  4 17  4 26 220 850 151 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bakker      25 hol  1  2 17  5 18 220 320 151 850   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_De_Roon     34 hol  1  5 16  2 36 110 860 860 190   1   0   78   0   0   0   0   0   0   0   0   0   0   0  99
G_Ramos       25 por  1  4  7 25 33 943 182 711  88   1   0   97   0   0   0   0   1   6   0   0   0   0   0  91
German_Valera 24 SPA  1  2  8 21 19 493 116 371 135   1   0   97   0   0   0   0   0   4   0   0   0   0   0  91
K_Sulemana    24 gha  1  2  5 17 20 110 330 970 271   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
