Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
L_Skorupski   35 POL 15  1  1  1 19 290 400 400 400   4   0  382   0  31  10   0   0   0   0   0   0   0   0 100
M_Pessina     19 ITA 14  1  1  1 18 112 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jhon_Lucumi   28 COL  1 18  5  1 37 480 307 943 581   3   0  286   0   0   0   5   2   1   0   1   0   0   0 100
Juan_Miranda  27 SPA  1 17  6  4 20 480  66 299 740   3   0  289   0   0   0   7   2   0   0   1   0   0   0  86
T_Heggem      28 NOR  1 17  5  1 36 500  12 957 569   3   0  289   0   0   0   8   2   0   0   0   0   0   0  86
Martin_Vitek  24 CZE  1 16  5  1 40 500 714 913 487   3   0  247   0   0   0   4   2   0   0   0   2   0   0 100
Nadir_Zortea  27 ITA  1 15  5  4 20 460 731  29 798   3   1  228   0   0   0   3   2   1   0   0   0   0   0  93
E_Helland     21 NOR  1 15  4  1 36 470 510 817 567   3   0  186   0   0   0   2   0   0   0   0   2   0   0  93
Nicolo_Casale 29 ITA  1 15  4  1 36 120 244 841 345   3   2  194   0   0   0   2   2   0   0   0   2   0   0  93
L_Ferguson    27 SCO  1  4 16  5 26 370 755 643 428   3   0  286   0   0   0   0   2   3   0   0   0   0   0 100
Jens_Odgaard  27 DEN  1  2 16  5 18 360 555 580 814   4   1  278   0   0   0   0   6   2   0   0   2   0   0  98
Simon_Sohm    25 SWI  1  6 16  3 38 370 108 454 944   4   1  337   0   0   0   0   9   1   0   0   2   0   0  86
T_Pobega      27 ITA  1  4 16  4 24 390 950   4 823   3   0  245   0   0   0   0   5   2   0   0   0   0   0 100
Nikola_Moro   28 CRO  1  5 15  3 32 360 847 873  34   2   0  185   0   0   0   0   4   1   1   0   4   0   0 100
Mateo_Meija   24 spa  1  1  7 17 20 335 802  57 769   3   0  234   1   0   0   0   2  11   1   0   0   0   0  93
R_Orsolini    30 ITA  1  1  5 17 21 320 549 546 296   3   1  205   1   0   0   0   2  15   1   0   4   0   0 100
N_Cambiaghi   26 ITA  1  1  6 17 22 140 338  54 595   2   1  103   0   0   0   0   1   5   1   0   0   0   0 100
Jonathan_Rowe 23 ENG  1  1  6 16 18 220 325  76 376   2   1  132   0   0   0   0   0   2   0   0   0   0   0  93
B_Dominguez   23 ARG  1  1  5 16 20 120 440 234 537   1   0   45   0   0   0   0   1   0   0   0   0   0   0 100
T_Dallinga    26 HOL  1  3  5 16 28 110 357  93 412   1   1   51   0   0   0   0   0   3   0   0   0   0   0 100
