Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Kikkenborg  27 den 26  1  1  1 22 699 321 907 772   2   0  185   0  20   1   0   0   0   0   0   0   0   0 100
I_Provodel    31 ita 18  1  1  1 20 210 273 273 273   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Motta       21 ita 16  1  1  1 18  55 123 234 123   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Augustin_Giay 22 bra  1 20  6  5 21 190 132 840 600   2   0  185   0   0   0   2   2   2   0   0   0   0   0 100
Luan_Candido  25 bra  1 18  7  5 20 100 451 140 948   2   0  185   0   0   0   1   1   4   0   0   0   0   0 100
O_Provsthaard 22 den  1 17  6  1 36 321 199 347 617   2   0  185   0   0   0   3   2   0   0   0   0   0   0 100
Mario_Gila    25 SPA  1 16  7  1 39 571 928 250 461   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Pellegrini  26 ITA  1 16  5  4 21 510  75 686 892   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adam_Marusic  33 mon  1 15  5  4 18 246  48 391 711   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedri         24 spa  2  7 22 10 24 513  66 546 550   2   0  185   1   0   0   0  11   2   0   1   0   0   0 100
Manuel_Ugarte 26 uru  1  6 18  4 37 672 312 909 164   2   0  185   0   0   0   0   4   1   1   0   0   0   0 100
N_Rovella     24 fra  1  6 18  3 38 110 706 121 977   2   0  143   0   0   0   0   3   1   0   1   0   0   0 100
R_Belahyane   21 mor  1  5 17  3 34 581 878 144 162   2   2   42   0   0   0   0   0   2   0   0   0   0   0 100
A_Przyborek   19 pol  1  2 17  5 16 385 517 127  22   2   0  185   0   0   0   0   5   0   0   0   0   0   0 100
Dani_Maldini  24 ita  1  2 16  6 22 373 443 904 271   2   0  185   0   0   0   0   2   2   0   0   0   0   0 100
F_D-Bashiru   25 nig  1  2 15  5 24 735 773 101 536   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Castro      21 arg  1  3  6 18 26 330 738  40 796   2   0  143   1   0   0   0   1   7   1   0   0   0   0 100
Boulaye_Dia   29 sen  1  4  5 16 32 331 797 619 392   2   2   42   0   0   0   0   0   3   0   0   0   0   0 100
G_Isaksen     24 den  1  2  5 15 20 471 852 795 745   2   0  143   0   0   0   0   0   3   1   0   0   0   0 100
T_Noslin      26 hol  1  2  6 15 22 283 899  69  31   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Cancellieri 23 ita  1  2  4 15 20 315 629 911 677   2   2   42   0   0   0   0   0   0   0   0   0   0   0 100
