Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alex_Meret    29 ita 25  1  1  1 20 137 273 273 273   2   0  188   0  12   2   0   0   0   0   0   0   0   0 100
Dies_Janse    21 hol  1 18  8  3 36 516  30 955 676   2   0  188   0   0   0   4   2   1   0   0   0   0   0  86
Manuel_Akanji 31 SWI  1 17  7  6 39 571 833 146 641   2   1  122   0   0   0   1   1   1   0   0   0   0   0  93
D_Udogie      24 ita  1 17  5  4 21 510  43 707 637   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Keito_Kosugi  20 JAP  1 17  6  5 18 246 464 863 957   2   0  188   0   0   0   4   3   3   0   0   0   0   0  86
Ryan_Flamingo 23 hol  1 16  7  1 36 321 669 397 575   2   1  121   0   0   0   0   0   0   0   0   2   0   0 100
L_Spinazzola  33 ita  1 16  5  5 18 273 749 444 416   2   0  133   0   0   0   1   0   0   0   0   0   0   0 100
G_Mazzaglia   21 ita  1  5 18  6 24 581 925 154 187   2   0  188   0   0   0   1   1   1   0   0   2   0   0  86
Paul_Pogba    34 fra  1  7 17  8 28 110 303 771 719   2   0  188   0   0   0   0   5   2   0   0   0   0   0  86
L_Kacavenda   21 cro  1  4 17  6 22 373 569 225 292   2   0  188   0   0   0   0   7   1   0   0   0   0   0  86
Zeno_Sneijer  21 hol  1  5 17  7 24 735 873 290 635   1   0   92   0   0   0   0   2   1   0   0   0   0   0 100
Gabriel_Sigua 20 geo  1  4 17  5 28 934 226 185 781   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Schouten    29 hol  1  6 16  3 36 385 317 436 322   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Morgan_Rogers 24 eng  1  4 16  5 22 553 252 792 693   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
X_Shaqiri     34 swi  1  2 16  7 24 844 733 782 425   1   0   96   0   0   0   0   4   1   0   0   0   0   0  93
J_Bakayoko    22 bel  1  3  5 18 28 471 837 754 617   2   0  188   0   0   0   0   0   4   0   0   0   0   0  86
Noa_Lang      27 hol  1  1  5 18 24 331 780 513 216   2   2   55   0   0   0   0   0   2   0   0   0   0   0 100
A_Gudjohnsen  23 ice  1  3  4 17 26 315 635 917 576   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Endrick       22 bra  1  2  6 16 22 283 874  71 822   2   0  133   0   0   0   0   1  11   0   0   0   0   0 100
D_A_Konadu    22 hol  1  4  6 16 22 956 708 186 539   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
