Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mile_Svilar   26 SER 19  1  1  1 19 109 400 400 400   5   0  472   0  21  12   0   0   0   0   0   0   0   0 100
P_Gollini     31 ITA 16  1  1  1 19 760 410 410 410   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Renato_Marin  19 ITA 14  1  1  1 21 791 230 350 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Evan_Ndicka   26 IVO  1 17  5  2 38 500 643 847 443   4   0  354   0   0   0   3   1   2   0   0  14   0   0  86
Angelino      29 SPA  1 17  5  4 21 510 358 694 804   5   0  421   0   0   0   3   2   0   0   0   0   0   0  83
G_Mancini     30 ITA  1 16  5  2 36 500 173 743 447   5   1  427   0   0   0   4   3   1   0   0   2   0   0  84
D_Rensch      23 HOL  1 16  4  4 20 490 643 682 552   4   0  337   0   0   0   3   1   2   0   0   0   0   0 100
A_S-Eddine    24 HOL  1 15  5  4 18 460 301 741 538   4   1  283   0   0   0   4   1   0   0   0   0   0   0 100
Zeki_Celik    29 TUR  1 14  6  4 20 470  41 630 490   3   2  137   0   0   0   0   1   0   0   0   0   0   0 100
Manu_Kone     25 FRA  1  4 17  5 28 390 862 153 921   5   0  389   0   0   0   2   6   1   1   0   0   0   0  96
Nico_Pisilli  21 ITA  1  4 16  4 24 380 980 113 856   4   1  327   0   0   0   0   8   2   0   0   0   0   0  93
T_Baldanzi    23 ITA  1  3 16  4 23 370 683 679 822   4   0  326   0   0   0   1   4   1   0   0   0   0   0  93
B_Cristante   31 ITA  1  5 16  2 33 370 610 193 506   4   1  260   0   0   0   0   6   3   0   0  10   0   0  86
L_Parades     31 ARG  1  5 16  2 36 250 890  42 500   3   1  231   0   0   0   0   5   0   0   0   0   0   0 100
L_G_Douath    22 FRA  1  6 13  2 38 120 121 507 567   1   0   94   0   0   0   0   2   1   0   0   0   0   0 100
Matias_Soule  23 ARG  1  1  6 16 19 230 438 197 847   3   0  283   0   0   0   0   3   7   0   0   2   0   0  93
A_Dovbyk      28 UKR  1  4  5 16 30 110 432 745 400   4   0  286   0   0   0   1   1  13   1   0   2   0   0  93
A_Sael'aekers 27 BEL  1  1  5 16 21 250 450 887 506   3   1  185   0   0   0   0   1   8   0   0  10   0   0 100
S_El_Shaarawy 33 ITA  1  2  4 16 22 330 470 415 150   4   2  279   0   0   0   0   1   3   0   0   0   0   0  93
E_Shomurodov  30 UZB  1  4  4 15 32 110 425 750 980   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
