Pl   Team                      P    W   D   L    GF   GA   GD   Pts Form
--------------------------------------------------------------------------
1    Fiorentina                1    1   0   0     4    0    4     3 -----W
2    Atalanta                  1    1   0   0     2    0    2     3 -----W
3    Lazio                     1    1   0   0     2    0    2     3 -----W
4    Udinese                   1    1   0   0     2    0    2     3 -----W
5    Inter_Milan               1    1   0   0     3    1    2     3 -----W
6    AS_Roma                   1    0   1   0     1    1    0     1 -----D
7    Bologna                   1    0   1   0     1    1    0     1 -----D
8    AC_Milan                  1    0   0   1     0    2   -2     0 -----L
9    Juventus                  1    0   0   1     1    3   -2     0 -----L
10   Napoli                    1    0   0   1     0    2   -2     0 -----L
11   Sampdoria                 1    0   0   1     0    2   -2     0 -----L
12   Genoa                     1    0   0   1     0    4   -4     0 -----L


