Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Maduka_Okoye  26 nig 17  1  1  1 19 142 400 400 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Razvan_Sava   23 rom 16  1  1  1 18 912 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Nunziante   19 ita 16  1  1  1 20 820 110 100 110   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Kristensen  24 den  1 18  5  1 37 480 247 877 581   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oumar_Solet   26 fra  1 18  5  1 38 480 949 236 740   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Bertola     23 ita  1 17  5  1 36 500 879 915 569   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Zemura      26 zim  1 16  5  5 20 500 661 874 490   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Zanoli      25 ita  1 16  5  5 20 460 686 984 797   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Mlacic      19 rco  1 16  5  1 36 470 483 820 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Camara      32 ivo  1 16  4  4 16 120 217 800 348   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arthur_Atta   23 fra  1  4 17  5 26 370 738 606 419   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lennon_Miller 19 sco  1  5 17  4 28 360 558 523 817   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Piotrowski  28 pol  1  6 16  5 38 370 111 367 949   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Karlstrom   30 swe  1  6 16  2 34 390 950 928 829   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Arizala  20 col  1  2 16  5 16 360 853 835 978   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oier_Zarraga  27 spa  1  5 16  4 28 220 750 700 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Camara      17 fra  1  5 16  2 36 110 660 660 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Zaniolo     26 ita  1  3  6 18 26 335 802  19 860   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Keinan_Davis  28 eng  1  3  5 17 28 320 555 510 283   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Idrissa_Gueye 19 sen  1  3  5 16 24 140 321 517 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adam_Buksa    29 pol  1  3  5 16 28 220 325  76 393   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Vakoun_Bayo   29 ivo  1  3  5 16 32 120 440 213 537   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
