Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
P_Reverson    22 hol 16  2  2  2 22 987 537 537 537   5   0  479   0  24   6   0   0   0   0   0   0   0   0 100
S_Reverson    20 hol 13  2  1  1 21 946 336 635 635   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Sloncik     20 cze  1 15  7  3 36 843  90 127 345   5   0  479   0   0   0   5   1   4   0   0   0   0   0 100
R_v_de_Riet   20 hol  1 15  7  5 19 877  10  28 975   4   0  303   1   0   0   6   4   4   0   2   0   0   0 100
Gerald_Alders 22 hol  2 13  6  5 18 582 539 958 930   5   0  366   0   0   0   4   4   5   1   0   4   0   0 100
E_v_der_Blaak 22 hol  1 13  6  2 36 858 624 718 757   5   0  479   0   0   0   5   3   3   0   0   2   0   0 100
S_v_der_Plas  20 hol  1 13  6  2 36 844 519 658 775   5   4  260   0   0   0   3   3   2   0   0   0   0   0 100
Silvano_Vos   22 hol  2  6 16  4 38 543 309 579 168   5   0  479   0   0   0   1  19   6   0   3   0   0   0 100
A_Vermeeren   21 bel  1  5 14  3 38 784 527 252 581   5   0  479   0   0   0   0  14   3   0   0   2   0   0 100
V_Froholdt    20 den  1  4 14  5 22 939 805  70 624   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_v_d_Heuvel  22 hol  1  5 13  6 24 982 148 574 744   5   0  479   0   0   0   1   9   7   0   0   0   0   0 100
K_Taylor      23 hol  1  4 13  6 26 866 404 705 273   5   0  479   0   0   0   1  11   5   0   1   0   0   0 100
N_Chourak     23 hol  2  5 13  4 26 518  40 201 360   1   1   29   0   0   0   0   0   0   0   0   0   0   0 100
M_Verkuijl    20 hol  1  6 13  2 36 680 511 381 804   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_A_Konadu    21 hol  1  4  6 15 22 956 708 186 464   5   0  479   3   0   0   0   3  35   7   0   0   0   0 100
Skye_Vink     21 hol  1  5  5 15 18 854 240 886 100   5   0  338   0   0   0   0   0  15   2   0   0   0   0 100
Y_Boerhout    20 hol  1  1  5 14 18 753 953 699 116   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Houben      21 hol  1  3  5 13 18 753 297 446 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Kalokoh 20 hol  1  4  5 13 22 745 341 517  52   5   5  141   0   0   0   1   1  10   2   0   0   0   0 100
