Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Flavell     23 eng 16  1  1  1 32 592 373 801 311   1   0   93   0   5   0   0   0   0   0   0   0   0   0 100
A_De_Ridder   19 bel  1 14  5  5 20 358 549 452 655   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_v_der_Plas  20 hol  1 13  6  2 36 844 519 703 864   1   0   93   1   0   0   0   0   2   1   0   0   0   0  94
Seb_Naylor    20 eng  1 13  5  4 20 130   9 964 930   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Correia     18 por  1 13  5  1 36 120 718 880 259   1   0   93   0   0   0   1   0   1   0   0   0   0   0  94
Joao_Rijo     17 por  1 13  4  4 20 220 958 877 877   1   0   93   0   0   0   2   0   0   0   0   2   0   0  94
C_McFarlane   18 eng  1 13  4  4 20 100 988 927 910   1   0   93   0   0   0   1   1   0   0   1   0   0   0  94
J_Bland       21 wal  1  4 17  2 31 570 466  30 506   1   0   93   0   0   0   1   3   0   0   0   0   0   0  94
Adam_Phillips 29 eng  1  4 16  4 32  26 956 623 559   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marvin_Dills  19 ger  1  3 14  5 28 110 630 917 162   1   0   93   0   0   0   0   3   1   0   0   0   0   0  94
K_Taylor      24 hol  1  4 13  6 26 866 444 828 291   1   0   93   0   0   0   0   1   1   0   0   0   0   0  94
D_v_der_Vaart 19 hol  1  4 13  4 30 330 770 822 810   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Nascimento  18 por  1  4 13  4 32 485 717 455 763   1   1   26   0   0   0   0   0   0   0   0   0   0   0 100
L_Weinhandl   17 aut  1  3 13  4 28 110 670 696 702   1   1   26   0   0   0   0   0   2   0   0   0   0   0 100
Scott_Banks   25 sco  1  2  6 16 20 472  64 201 737   5   4  207   0   0   0   0   2   8   1   1   0   0   0 100
Gabriel_Melo  20 bra  1  4  5 13 28 838 411 201 793   1   0   93   0   0   0   0   0   4   0   0   0   0   0  94
M_Sangare     18 fra  1  3  5 13 28 100 271 849 873   1   0   67   0   0   0   0   0   2   0   0   0   0   0 100
