Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joe_Duncan    17 eng 12  1  1  1 18 784 100 100 100   1   0   95   0   4   2   0   0   0   0   0   0   0   0 100
Isaac_Finch   16 eng 11  1  1  1 18 760 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_C_Slowey    19 eng  1 12  4  1 36 200 770 572 550   1   0   95   0   0   0   0   1   0   0   0   0   0   0  93
Seb_Naylor    20 eng  1 12  4  4 20 200 770 550 565   1   0   95   0   0   0   0   0   1   0   0   0   0   0  93
T_Anderson    20 eng  1 12  4  4 16 200 788 572 585   1   0   95   0   0   0   1   1   2   0   0   0   0   0  93
Joseph_James  19 eng  1 12  4  1 34 200 770 594 550   1   0   45   0   0   0   0   2   0   0   0   0   0   0 100
Archie_Taylor 16 eng  1 12  3  3 21 100 678 660 660   1   1   50   0   0   0   1   0   0   0   0   0   0   0 100
George_Earthy 19 eng  1  2 12  4 21 200 363 870 859   1   0   95   0   0   0   1   2   3   0   1   0   0   0  93
Adam_Murphy   19 ire  1  3 12  4 26 200 335 856 890   1   0   95   0   0   0   0   1   3   1   1   0   0   0  93
D_Ezendu      17 ita  1  4 12  3 38 130 916 960 273   1   0   95   0   0   0   1   5   1   1   0   0   0   0  93
Leo_Pecover   16 eng  1  3 12  3 28 110 880 922 880   1   0   95   0   0   0   0   3   0   0   0   0   0   0  93
Charlie_Filer 16 eng  1  3 12  3 32 110 880 880 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Yeboah      19 fra  1  3  4 12 30 200 362 867 882   1   0   95   1   0   0   1   2   5   1   0   0   0   0  93
Ranel_Young   20 eng  1  1  4 12 20 190 220 750 809   1   0   59   0   0   0   0   0   7   0   0   0   0   0 100
Luke_Skinner  17 eng  1  1  4 12 18 190 220 750 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jack_Griffiin 16 eng  1  3  4 11 32 130 330 886 897   1   1   36   0   0   0   0   3   6   1   0   0   0   0 100
