Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Guille_Bueno  20 spa 14  1  2  1 24 899 391 180 849   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Astralaga   23 spa 11  1  1  1 22 981 409 649 649   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Kochen  20 usa 11  1  1  1 20 701 285 285 285   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alvaro_Cortes 21 spa  1 14  5  2 36 500 271 937 483   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Oduro   20 gha  1 14  6  5 18 499 352  55 962   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Dominguez   21 spa  1 14  5  2 40 499  24 902 509   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Edu_Sanchez   21 spa  1 13  5  5 20 653 802 288  39   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hector_Fort   20 spa  1 13  6  5 20 653 131 638 508   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alvaro_Nunez  20 spa  2 12  6  5 22  92 704 393  88   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rhys_Bennett  22 eng  1 12  5  4 20 605  32 881 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Campos   17 spa  1 12  4  1 36 100 650 650 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Victor      18 spa  1 12  4  4 20 100 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_El-Harmouz  20 hol  1  4 14  6 28 518 697 687 976   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Noah_Darvich  20 ger  1  2 14  6 21 365 943 448  46   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Kluivert    17 hol  1  4 13  4 18 380 407 630 796   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Aitor_Gismera 20 spa  1  3 13  5 22 276 605 436 945   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ashton_Missin 20 eng  1  4 12  6 22 812  24 917 174   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Hernandez   17 spa  1  3 12  4 24 365 994 537 864   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Fernandez   17 spa  1  4 12  4 26 385 227 501 545   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pau_Prim      20 spa  1  6 11  2 38 240 144 666 611   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Fernandez   18 spa  1  2  6 15 18 695 766  60 176   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Vromant     20 fra  2  3  5 13 26 176 997 679 586   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ernest_Poku   23 hol  1  2  4 12 24 695 164 533 587   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Barbera     23 spa  1  3  5 12 30 597 292 844 106   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nuhu_Fofana   17 spa  1  3  4 12 32 100 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Guerrero    17 spa  1  3  4 12 24 100 150 750 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Fernandez   24 spa  2  3  4 11 26 221 287 898 115   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
