Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Axl_De_Corte  19 bel 13  1  1  1 16 800 120 120 120   1   0   95   0   9   4   0   0   0   0   0   0   0   0 100
S_Ostoici     16 hun 11  1  1  1 20 880 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_G_v_Hoogen  20 bel  1 13  5  1 38 100 838 791 230   1   0   95   0   0   0   4   1   0   0   0   0   0   0  93
Andre_Garcia  18 eng  1 13  4  4 20 100 718 650 650   1   0   95   0   0   0   4   0   0   0   0   0   0   0  93
W_Verlinden   19 bel  1 12  4  1 36 100 650 650 220   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
Axl_Wins      17 bel  1 12  4  1 36 230 376 820 230   1   1   50   0   0   0   2   0   0   0   0   0   0   0 100
A_Vandenperre 19 bel  1 12  4  3 20 150 800 800 800   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Granados    19 spa  1  4 13  4 30 120 700 744 700   1   0   95   0   0   0   0   2   0   0   1   0   0   0  93
L_Goemaere    19 bel  1  4 13  4 32 120 676 694 701   1   0   95   0   0   0   1   2   1   1   1   0   0   0  93
T_Nai_Koren   16 slo  1  2 13  4 21 120 350 676 665   1   0   95   0   0   0   0   2   1   0   0   0   0   0  93
Niam_Amengai  17 bel  1  4 12  4 28 120 676 664 690   1   0   95   0   0   0   1   1   2   0   0   0   0   0  93
Jessi_D_Silva 17 bel  1  2 12  4 18 220 350 664 665   1   0   95   0   0   0   0   1   1   0   0   0   0   0  93
Y_Musuayi     18 bel  1  3  4 13 28 110 230 700 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Brian_Madjo   16 lux  1  2  4 13 20 120 220 760 876   1   0   64   0   0   0   0   0   1   0   0  10   0   1 100
Said_El_Mala  19 ger  1  1  4 13 18 220 350 350 821   1   0   59   0   0   0   0   0   4   1   0   0   0   0 100
Jesse_Bisiwu  18 bel  1  1  4 13 20 100 150 650 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_van_Britsom 18 bel  1  3  4 12 30 160 550 550 583   1   1   36   0   0   0   0   0   4   0   0   0   0   0 100
