Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Spike_Brits   20 eng 14  1  1  1 20 805 385 385 385   6   0  567   0  20   7   0   0   0   0   0   0   0   0 100
Harry_Lee     21 eng 12  1  1  1 21 666 220 210 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Max_Alleyne   22 eng  1 13  5  2 36 363 767 783 364   6   0  567   0   0   0  11   1   1   0   0   4   0   0  66
Joao_Lima     19 bra  1 13  6  6 19 345 319 575 511   6   0  567   0   0   0   8   5   5   0   0   0   0   0  66
Archie_Taylor 17 eng  1 13  5  2 36 188   8 587 217   6   0  567   0   0   0  10   3   2   0   0   2   0   0  66
Luke_Brown    21 ire  1 12  5  1 36 374 720 308 919   6   0  567   1   0   0  14   5   0   0   0   2   0   0  66
L_Dellavalle  22 ita  1 11  5  3 40 872 990 344 670   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Alcala   22 mex  1  2 15  6 18 471   1 103  57   6   0  567   1   0   0   1  17   3   1   2   0   0   0  66
A_Sovogui     20 fra  1  4 13  6 20 165 168 266 576   6   0  567   0   0   0   0  13   6   0   0   0   0   0  66
J_Gobbard     21 ire  1  4 12  5 32 604 571 655 878   6   0  567   0   0   0   2  12   3   1   2   2   0   0  66
Dylan_Reid    21 sco  1  5 12  4 36 222  66 699   4   6   0  270   0   0   0   0   6   3   1   1   0   0   0 100
S_Sandiford   17 eng  1  5 12  4 28 190 377 578 396   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Gregory     21 eng  2  3 13  5 20  62   3   8 467   6   6  297   0   0   0   1   6   2   0   0   0   0   0 100
Z_Gruber      22 hun  1  3  5 13 20 518 732 617 356   6   0  567   1   0   0   0   4  23   3   0   2   0   0  66
R_Brownlie    19 aus  1  3  6 13 24 651 956 373 998   6   0  344   0   0   0   1   0  19   3   0   0   0   0 100
Koby_Mottoh   20 sen  1  3  6 12 22 195 808 140 282   6   6  223   0   0   0   0   2   9   0   0   0   0   0 100
