Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kepa          32 spa 13  1  1  1 30 102 899 962 619   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Fernandez   19 spa  1 15  5  1 35 210 880 880 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Iker_Vidal    21 spa  1 14  5  5 16 200 780 780 780   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Canedo      23 spa  1 14  5  1 36  90 770 655 655   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Asencio     24 spa  1 13  6  1 38 217 266 338 921   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lazaro        22 bra  1  3 13  6 22 260 199 810 842   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fode_Sylla    19 fra  1  5 13  2 38 110 622 780 227   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_David       22 spa  1  4 13  4 26 215  41 820 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Capuano     19 fra  1  3  4 15 32  90  90 770  13   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Diliwidi    19 fra  1  1  4 14 18 110 230 550 960   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
