Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Pickford    20 eng 13  1  1  2 21 733 633 404 312   6   0  573   0  25   8   0   0   0   0   0   0   0   0 100
F_Barnsley    22 nir 12  1  1  1 20 657 477 477 543   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Roman_Dixon   22 eng  1 13  5  5 18 604 461 872 788   6   0  535   0   0   0   3   4   6   0   0   4   0   0  74
D_Dixon       18 eng  1 13  5  5 21 475 700 278 427   6   0  573   0   0   0   9   2   5   1   0   0   0   0  64
W_Tamen       20 eng  1 13  6  2 36 620 490 364 618   6   0  573   0   0   0  10   4   1   0   0   4   0   0  64
Jack_Butler   21 eng  1 13  5  4 22 450   6 556 683   3   3   38   0   0   0   0   0   2   0   0   0   0   0 100
Jack_Tierney  22 eng  1 12  5  2 36 494  86 351 170   6   0  573   0   0   0   5   1   0   0   0   4   0   0  64
J_Patterson   22 eng  1  5 14  3 36 482 823 313 599   6   0  573   0   0   0   4   7   1   1   1   0   0   0  64
H_Armstrong   20 eng  1  4 13  6 32 524 674 223 156   3   3   67   0   0   0   0   2   0   0   0   0   0   0 100
Matthew_Apter 21 sco  1  4 13  5 38 425 968  44 472   5   1  416   0   0   0   0   5   2   1   0   2   0   0  73
Yasin_Ayari   21 swe  1  4 13  6 21 580 162 102 400   6   0  573   1   0   0   0  19   5   1   1   2   0   0  64
L_Butterfield 23 sco  1  5 12  3 36 475 642 656  63   2   0  122   0   0   0   1   1   1   1   0  10   0   0 100
Callum_Bates  21 eng  2  4 12  5 20 292 317 559 927   6   0  476   0   0   0   2   6   6   1   1   0   0   0  85
Coby_Ebere    22 ger  1  2  5 14 20 468 513 812 905   6   0  573   0   0   0   1   1  25   2   0   2   0   0  64
Martin_Sherif 21 hol  1  4  6 13 20 907 136 200 560   6   0  506   1   0   0   2   4   8   1   2   0   0   0  83
Stanley_Mills 24 eng  1  2  5 12 18 705 456 718 812   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Benjamin    21 wal  1  3  6 12 22 425 874 218 472   2   2   66   0   0   0   0   2   2   0   0   0   0   0 100
