Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Diego_Callia  22 bra 14  1  1  1 24  14 771 767 741   4   0  379   0  28   7   0   0   0   0   0   0   0   0 100
A_Calligaris  22 ita 12  2  2  1 22 322  47  47 936   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Cordier     21 fra  1 15  6  5 22 941  15 930 128   4   0  379   0   0   0   2   4   3   0   0   2   0   0  74
Matteo_Motta  21 ita  1 14  6  6 21 712 645 813 394   4   0  379   1   0   0   5   3   4   2   0   4   0   0  74
Yvan_Maye     20 fra  1 13  6  2 38 712 679 499 571   4   4  130   0   0   0   4   0   1   0   0   0   0   0 100
A_Fontanarosa 21 ita  1 13  6  3 38 687 955 786 120   4   0  249   0   0   0   4   4   0   0   0   4   0   0 100
Pedro_Felipe  23 bra  1 13  7  2 38 536 406 154 269   4   4  130   0   0   0   0   0   1   1   0   2   0   0 100
T_Guercio     21 pol  2 12  6  4 22 243 434 463 979   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dilan_Zarate  19 col  1  4 17  6 32 710 937  66 772   4   0  379   0   0   0   1  18   5   0   0   0   0   0  74
M_Zanchetta   19 ita  1  6 14  3 38 495 327 162  93   4   0  379   0   0   0   3   7   3   0   1   0   0   0  74
Samuel_Landi  18 ita  1  9 14  6 23 550 295 170 347   4   0  249   0   0   0   1   7   6   0   0   0   0   0 100
G_Mazzola     21 ita  1  4 14  5 26 881 810 460  56   4   0  379   0   0   0   0  10   6   1   0   0   0   0  74
E_Tigani      20 ita  1  4 14  6 26 834 634 135 781   4   4  130   0   0   0   0   6   2   0   1   0   0   0 100
G_De_Pieri    19 ita  1  2  6 15 20 834 629 625 284   4   0  379   0   0   0   1   4  11   0   0   0   0   0  74
Noa_Megdad    22 fra  1  1  5 14 18 455 985 838 640   4   0  249   0   0   0   1   0  12   2   0   0   0   0 100
S_Esposito    23 ita  2  2  4 12 27  14 372 905 775   5   1  411   0   0   0   1   1  17   1   0   2   0   0  74
