Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Klaesson    24 nor 13  1  1  1 18 406 305 305 305   4   0  379   0  11  11   0   0   0   0   0   0   0   0 100
Robbie_Cook   18 aus 12  1  1  1 18 880 120 150 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Struijk     26 ned  1 14  5  6 32 305 382 574 359   8   0  762   0   0   0  12   8   3   0   0   4   0   0  75
E_Ampadu      24 wal  1 13  5  3 30 283 287 546 277   4   0  379   0   0   0   3   0   2   0   0   2   0   0  75
L_Cooper      34 sco  1 13  5  5 33 305 553 621 848   4   0  379   0   0   0   5   4   0   0   0   0   0   0  75
C_Drameh      24 eng  1 12  5  5 28 305 869 812 912   4   0  180   0   0   0   4   1   1   0   0   0   0   0 100
J_Lienou      17 wal  1 12  4  4 20 110 732 704 726   4   4  199   1   0   0   4   2   2   1   0   0   0   0 100
D_Gyabi       21 eng  1  2 14  5 24 237 863 749 714   9   5  519   0   0   0   1  10   2   0   0   2   0   0  75
J_Howson      37 eng  1  5 14  5 34 110 522 622 628   4   0  379   0   0   0   1   9   4   2   1   2   0   0  75
Sam_Chambers  18 sco  1  1 13  5 21 200 220 812 764   2   0  187   0   0   0   0   2   1   0   2   0   0   0 100
A_Cresswell   18 eng  1  4 12  5 28  90 473 809 475   3   0  287   0   0   0   1   3   2   0   0   2   0   0  79
Ollie_Pickles 18 eng  1  5 12  2 36 180 770 770 260   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_McDonald 18 sco  1  1  5 12 20 220 327 827 935   3   0  199   0   0   0   0   0   9   0   0   2   0   0 100
Lewis_Pirie   18 sco  1  1  5 12 18 110 279 681 707   4   3  220   0   0   0   1   1   6   0   0   0   0   0 100
Marley_Wilson 20 eng  1  1  4 12 22 130 297 922 935   4   0  332   0   0   0   0   0   4   0   0   2   0   0  79
H_Vincent     18 eng  1  1  4 12 24 200 229 966 978   4   1  291   0   0   0   1   3  11   2   0   0   0   0  85
