Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Potiron     20 fra 13  1  1  1 21 623 446 446 446   5   0  476   0  33  11   0   0   0   0   0   0   0   0 100
M_Jung        20 fra 12  1  1  1 21 444 446 446 446   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Williams    23 eng  1 12  5  2 39 615 895 634 344   5   0  476   0   0   0   9   5   4   0   0   2   0   0  69
Enzo_Mongo    20 fra  1 12  5  4 21 543 431 643 591   5   0  313   1   0   0   5   2   5   2   0   0   0   0 100
Adama_Dosso   20 fra  1 12  5  1 36 543 335 823 804   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Cossier       19 fra  1 12  5  4 20 658 520 888 913   5   0  476   0   0   0   3   1   6   0   0   4   0   0  69
Goffi         19 fra  1 12  6  2 38 658 704 136 303   5   0  476   0   0   0   2   6   0   0   1   0   0   0  69
B_Michel      21 fra  1 12  5  2 39 615 684 376 341   5   5  163   0   0   0   3   0   1   0   0   0   0   0 100
F_Mastantuono 18 arg  1  4 15  6 26 676 805 429 537   5   0  476   0   0   0   1   7   7   1   0   0   0   0  69
Y_El_Heggach  19 bel  1  5 15  5 26 688 555 204 783   5   0  476   0   0   0   1  13   2   0   0   0   0   0  69
Gorak_Ghale   19 bel  1  6 14  4 34 665 650 717 164   5   0  476   0   0   0   0   9   6   0   0   0   0   0  69
Dylan_Thomas  19 eng  1  4 14  4 28 553 755 132 902   5   0  476   1   0   0   0   8   5   0   2   0   0   0  69
Alex_Toth     21 hol  1  6 14  4 36 610  70  26  28   5   0  372   0   0   0   1   6   2   0   1   0   0   0 100
Sekou_Mara    22 fra  1  3  6 14 26 962 328  49 856   4   0  382   0   0   0   1   2  19   0   0   0   0   0  94
S_Makhabe     20 fra  1  3  6 14 26 962 403  22 624   1   0   94   0   0   0   0   1   2   0   0   0   0   0  93
Asena_Sambou  21 fra  2  4  6 14 20  75 221 305 158   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_F-Pardo     21 bel  1  4  4 12 21 620  87 841 962   5   5  104   0   0   0   0   0   8   0   0   0   0   0 100
Nathan_Lowe   20 eng  1  1  5 12 20 615 878  65 790   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
