Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
C_Kelleher    28 ire 13  1  1  1 18 879 326 326 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Jaros       25 cze 12  1  1  1 18 782 326 326 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Tsimikas    30 gre  1 14  5  5 20 326 135 827 713   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Conor_Bradley 23 nir  1 13  6  4 18 326 952  29 602   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Arana       30 bra  1 13  6  5 21 425 503   3 149   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_K-Doherty   19 ire  1 12  6  4 30 595 561 116 990   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lewis_Koumas  19 wal  1  5 13  7 25 615 101 786 216   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Figueroa    19 usa  1  4 12  7 26 600  61 721 201   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Frauendorf  21 ger  1  3 12  6 25 565 805 356  11   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Barcola     24 fra  1  3  6 14 30 908 329  78 516   4   4  114   0   0   0   1   0   3   0   0   0   0   0 100
Ranel_Young   21 eng  1  1  4 12 16 517 943 798 921   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jayden_Danns  21 eng  1  3  4 12 21 396 842 617 661   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
