Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jack_Wint     19 eng 14  1  1  1 20  53 375 375 375   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Max_Hudson    17 eng 11  1  1  1 20 899 245 245 245   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kian_Noble    18 eng  1 13  5  1 38 110 750 750 340   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_McFarlane   18 eng  1 13  4  4 20 100 880 880 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Parker      19 eng  1 12  5  1 36 100 890 940 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Leke_Drake    18 eng  1 11  5  1 38 230 946 295 975   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Parker      18 eng  1 11  5  1 36 254 976 401 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Femi_Fapetu   18 eng  1  5 13  3 36 120 820 800 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Mukasa      18 eng  1  2 13  5 18 130 160 750 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Charlie_Holt  16 eng  1  3 12  4 28  90 450 860 930   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Floyd_Samba   17 eng  1  4 12  3 26 100 550 550 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Miles       17 eng  1  3 12  4 32 100 450 800 800   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joe_Taylor    19 wal  1  4  6 13 20 767 300  43 371   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Reigan_Heskey 18 eng  1  2  4 12 20 110 220 750 820   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tyrone_Samba  18 eng  1  1  4 12 18 230 120 925 930   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Teddy_Lamb    16 eng  1  3  4 12 32 110 450 770 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
