Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
P_Faccioli    16 ita 13  1  1  1 20 117 100 100 100   3   0  285   0  21   2   0   0   0   0   0   0   0   0 100
Paulo_Doneda  18 per 12  1  1  1 18 930 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Z_Athekame    21 swi  1 13  5  4 21 225 378 492 326   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Piermarini  19 ita  1 13  5  2 38 110 742 758 327   3   0  285   0   0   0   5   1   0   0   0   2   0   0  80
V_Vladimirov  17 bul  1 13  5  1 36 110 813 740 330   3   0  285   1   0   0   8   0   0   0   0   0   0   0  80
Luca_Nolli    17 ita  1 12  4  4 20 220 806 494 500   3   0  285   0   0   0   2   2   3   0   0   0   0   0  80
C_Vechiu      17 rom  1 12  4  4 21  80 604 594 565   3   0  285   0   0   0   3   2   1   0   0   0   0   0  80
A_Cullota     17 ita  1 12  4  1 34 100 880 880 560   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raphael_Veiga 31 bra  1  1 14  5 22 170 402 393  22   3   0  252   0   0   0   0   5   0   0   0   2   0   0  86
Kevin_Zeroli  21 ita  1  3 13  5 21 318 955  86 484   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Sala        18 ita  1  4 13  4 30 230 550 563 565   3   3   98   0   0   0   0   1   1   0   0   0   0   0 100
S_Le_Mantia   17 arg  1  4 13  3 32 220 550 630 592   3   0  285   0   0   0   0  10   2   0   0   0   0   0  80
C_Dotta       17 ita  1  4 12  4 28 110 340 848 820   3   0  220   0   0   0   0   2   0   0   0   0   0   0 100
F_Plazzotta   17 ita  1  4 12  4 26 330 476 464 465   3   3   83   0   0   0   1   1   1   0   0   0   0   0 100
JB_Clark      22 eng  2  3  7 17 21 528 687 672 158   3   0  212   0   0   0   0   4   6   0   0   2   0   0  86
Filipo_Scotti 19 ita  1  2  5 14 28 110 330 330 340   1   0   96   0   0   0   0   0   2   0   0   0   0   0 100
A_Di_Siena    19 ita  1  2  4 12 21 200 660 660 736   3   0  257   0   0   0   0   0   8   0   0   0   0   0  90
D_Petrone     17 ita  1  3  4 12 32 100 550 616 557   3   0  230   0   0   0   0   3   1   0   0   0   0   0  97
