Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Razvan_Sava   23 rom 16  1  1  1 18 912 380 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Spike_Brits   19 eng 14  1  1  1 18  94 120 150 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Spinazzola  33 ita  1 16  5  5 18 273 777 465 421   4   0  270   0   0   0   2   1   1   0   0   0   0   0 100
H_Camara      32 ivo  1 16  4  4 16 120 217 800 348   1   1   51   0   0   0   0   0   0   0   0   0   0   0 100
Zeki_Celik    29 tur  1 14  6  4 20 470 473 830 590   2   0  186   0   0   0   2   0   0   0   0   0   0   0  93
Zach_Abbott   19 eng  1 13  5  2 38 222 903 649 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Schouten    29 hol  1  6 16  3 36 385 317 436 322   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Alcala   22 mex  1  1 14  5 18 461 955 569 841   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Gyabi       21 eng  1  2 14  5 24 237 863 749 714   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tijn_Peters   19 hol  1  4 13  4 28 120 440 466 475   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Michael_Okeke 22 hun  1  4 13  4 26 575 678 258 544   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Sanogo      18 mal  1  3  5 15 26 238 736 283 195   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Armando_Guner 19 arg  1  1  4 13 18 120 220 572 817   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Erick_Marcus  21 bra  1  1  4 13 18 220 225 775 804   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_d_v_Moreira 20 ger  1  2  4 13 24 365 359 674 678   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafael_Nel    20 por  1  2  5 13 21 598 700 647  14   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
