Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
H_Griffiths   20 eng 15  1  1  1 20 192 222 266 455   6   0  567   0  34   7   0   0   0   0   0   0   0   0 100
Ally_Graham   17 sco 12  3  1  1 22 192  16 935 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Zach_Abbott   19 eng  1 13  5  2 38 222 903 649 320   1   0   64   0   0   0   0   0   0   0   0  10   0   0 100
Josh_Powell   21 eng  1 12  5  5 21 344 447 543 456   6   0  567   0   0   0  14   6   4   0   0   0   0   0  65
Justin_Hanks  21 wal  1 12  5  1 36 229 335 591 918   6   0  567   0   0   0   4   7   1   0   0   0   0   0  65
J_Whitely     17 eng  1 12  5  5 21 220 545 580 609   6   0  567   0   0   0   5   1   3   0   0   2   0   0  65
Jamie_Newton  20 sco  1 12  5  5 16 330  83 222 177   6   0  567   0   0   0   6   6   4   1   1   0   0   0  65
S_Mayulu      21 fra  1  3 13  5 26 475 608 410 451   6   0  567   0   0   0   0  15   7   0   1   0   0   0  65
Jack_Perkins  22 eng  1  3 12  5 26 337 815 924 721   6   0  567   2   0   0   1  13   6   2   4   2   0   0  65
Jack_Nadin    21 eng  1  2 12  6 22 220 635 944 575   6   0  270   0   0   0   1   7   2   1   0   0   0   0 100
Sam_Collins   22 wal  1  2 12  6 18 444 702 475 674   6   6  297   0   0   0   0   7   4   1   2   2   0   0 100
Riko_Robinson 17 eng  1  3 12  4 22 223 937 872 448   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ewan_Boulter  17 nir  1  5 12  3 36 339 640 805  31   5   0  472   0   0   0   4   6   3   1   0   0   0   0  70
Robert        20 bra  1  1  4 14 20 112 517 847 938   2   0  189   1   0   0   0   0   5   2   0   0   0   0  86
Armando_Guner 19 arg  1  1  4 13 18 120 220 572 817   2   0  117   0   0   0   0   1   7   0   0   0   0   0 100
Erick_Marcus  21 bra  1  1  4 13 18 220 225 775 804   2   2   72   0   0   0   0   0   4   0   0   0   0   0 100
E_d_v_Moreira 20 ger  1  2  4 13 24 365 359 674 678   3   0  170   1   0   0   1   0   7   1   0   0   0   0 100
M_Norkett     21 eng  1  4  5 13 32 229 152 390 467   1   0   58   0   0   0   0   0   2   0   0   0   0   0 100
K_Fletcher    20 usa  1  4  5 13 28 330 166 385  17   4   4  150   0   0   0   0   1   1   0   1   0   0   0 100
David_Mella   20 spa  1  2  5 12 18 335 154  66 113   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
