Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Aidan_Harris  21 eng 16  1  1  1 21  44 623 756 756   1   0   92   0   3   0   0   0   0   0   0   0   0   0 100
Jude_Smith    24 sco 12  2  2  2 20 503  21  72  31   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Elias_Baum    20 ger  1 15  4  5 21 308 592 697 505   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Poweel  22 eng  1 14  6  2 38 612 307 659 585   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Max_Thompson  20 eng  1 14  6  3 30 720 885 217  32   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Murphy   22 ire  1 14  7  3 32 705 176 341 973   1   0   66   0   0   0   0   1   0   0   0   0   0   0 100
D_Charlton    19 eng  1 13  5  5 18 623  41 538 786   1   0   92   0   0   0   1   1   0   0   0   0   0   0  94
C_Thompson    23 eng  2 12  6  5 22 296 583 357 133   1   0   92   0   0   0   2   1   0   0   0   0   0   0  94
J_Hackett     23 eng  2 12  5  3 40  73 477 668   3   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Heffernan   22 ire  1 12  5  1 38 580  95 571 823   1   0   92   0   0   0   1   0   0   0   0   2   0   0  94
R_Finnernan   20 ire  1  6 16  3 34 720 881 367 334   1   0   92   0   0   0   0   4   0   0   0   0   0   0  94
Can_Uzun      20 tur  1  1 16  6 22 170 584 124 367   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Cameron 19 eng  1  5 15  6 21 640 216  51 529   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Noah_Fenyo    19 hun  1  5 14  3 35 352 481 519 761   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Huntley 23 eng  1  4 13  5 22 701 838 699 764   1   0   92   0   0   0   0   0   0   0   0   0   0   0  94
Ben_Parkinson 22 eng  1  6 13  3 36 701 408 869 777   1   0   61   0   0   0   0   2   0   0   0   0   0   0 100
S_Thompson    22 eng  1  6 13  3 36 701 307 228 710   1   0   92   0   0   0   1   0   0   0   0   0   0   0  94
L_Miley       22 eng  1  3 13  4 33 643 695 581  28   1   1   31   0   0   0   0   0   0   0   0   0   0   0 100
J_Donaldson   22 eng  1  3  6 15 30 755 930 391 378   1   1   26   0   0   0   0   0   0   0   0   0   0   0 100
Sean_Neave    21 eng  1  3  6 14 24 613 831 471 317   1   0   92   1   0   0   1   0   6   1   0   0   0   0  94
D_Harold      18 eng  1  4  5 14 21 607 132 307 232   1   0   71   0   0   0   0   0   2   0   0   2   0   0 100
J_Ererson     17 eng  1  1  5 13 18 515 920 606 271   1   1   21   0   0   0   0   0   0   0   0   0   0   0 100
