Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Traore      18 fra 15  1  1  1 22 975 550 530 515   1   0   97   0   3   0   0   0   0   0   0   0   0   0 100
Bilal_Nadir   21 fra 12  1  1  1 21 439 525 515 520   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_De_Ridder   19 bel  1 14  5  5 20 358 517 431 622   1   0   97   0   0   0   0   0   0   0   0   0   0   0  91
O_Bouguerra   20 alg  1 13  6  3 29 670 832  77 873   1   0   97   1   0   0   3   0   1   0   0   0   0   0  91
C_Milesi      19 fra  1 13  7  4 28 645  63 145  94   1   0   97   0   0   0   1   1   1   0   0   0   0   0  91
B_Mboue       20 fra  1 12  7  4 27 630 608  17 805   1   0   45   0   0   0   0   0   2   0   0   0   0   0 100
Anas_Nadjim   20 fra  1 12  7  3 26 610 549  21 801   1   1   52   0   0   0   1   2   1   0   0   0   0   0 100
Lenny_Bendia  17 fra  1  5 14  6 22 590 216 591 364   1   0   97   0   0   0   1   3   1   0   0   2   0   0  91
S_Ben_Seghir  22 fra  1  9 14  4 25 615 267  78 976   1   0   97   0   0   0   0   2   0   0   0   0   0   0  91
Elias_Traikia 18 fra  1  4 13  5 23 570  71 189 229   1   0   97   0   0   0   0   1   1   1   0   0   0   0  91
Lucas_Perrin  21 fra  1  7 12  4 27 605 301 838 976   1   0   45   0   0   0   0   2   1   0   0   0   0   0 100
Mehdi_Salhi   18 fra  1  5 12  6 25 580 119 849 491   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Ouazzani    18 fra  1  4 12  5 23 560  16 707 187   1   1   52   0   0   0   0   1   0   0   0   0   0   0 100
Samuel_Edozie 22 eng  1  2  6 16 18 797 545  95 165   1   0   97   0   0   0   0   2   4   0   0   0   0   0  91
M_Kaddour     18 fra  1  2  5 13 21 525 998  36 324   1   0   97   0   0   0   0   0   3   0   0   0   0   0  91
Ethan_Berrier 17 fra  1  1  4 12 20 515 950 970 561   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
