Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
C_McDermott   17 ire 17  1  1  1 18 785 630 710 630   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tobias_Stagg  18 eng 14  1  1  1 22 172 680 655 640   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Bosaka  18 ENG  1 13  6  2 38 793 797 666 272   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Brian_Quarm   19 eng  1 13  5  5 22 810 377 642 646   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ashton_Sizer  17 eng  1 13  4  4 21 690 352 649 796   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Laidlaw     19 eng  1 13  5  2 36 665 112 480 409   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jack_Fox      19 eng  1 12  5  4 22 680 409 846 969   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Layton  19 eng  1 10 14  5 29 760 381  43 205   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jake_Morgan   19 eng  1  9 14  6 23 675 391  52 352   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joakim_Lavia  18 bel  1  3 14  6 26 820 737 477 845   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daniel_Murray 19 eng  1  5 12  4 30 900 857 936 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mitch_Anston  19 eng  1  4 12  5 24 843 511 112 511   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jesse_d_Silva 19 bra  2  5  7 16 18 394  52 253 406   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Obi_Martin  19 den  1  4  6 14 28 875 723 173 822   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jacob_Parsons 17 eng  1  3  5 13 22 510  11 307  95   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tayo_Singer   19 eng  1  4  6 13 20 475 267 620 707   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
