Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Seghers     18 bel 13  2  2  2 22 873 650  86  48   4   0  374   0  23   7   0   0   0   0   0   0   0   0 100
Bastien_Smith 18 eng 12  1  1  1 20 696 814 814 814   3   3   36   0   0   0   0   0   0   0   0   0   0   0 100
C_Anderson    19 eng  1 14  6  4 28 800 941 156 116   4   0  338   0   0   0   5   3   3   0   0   0   0   0  94
Saliou_Dia    18 bel  2 14  5  5 25 101 258 614 199   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kaelen_Casey  22 eng  1 13  6  6 22 815 822 688 241   4   0  374   0   0   0   6   6   3   0   0   0   0   0  83
Josh_Lett     22 eng  1 13  6  5 18 735 170  48 887   4   0  374   0   0   0   8   2   1   0   0   0   0   0  83
J_Thompson    16 eng  1 12  5  5 20 110 660 660 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Delgado     21 usa  1  7 15  3 36 140  20 703 490   4   0  374   0   0   0   6  12   1   0   1   2   0   0  83
M_Tanlongo    23 arg  1  5 14  2 36 700 937 996 166   3   0  208   0   0   0   0   8   2   0   1  10   0   0 100
Oscar_Hojlund 22 den  1  4 14  5 26 802 763  58  36   2   1  116   0   0   0   0   3   2   0   0   0   0   0  93
Luke_Staight  22 eng  2  5 14  4 36 262 701  86  35   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Charles     21 eng  1  2 14  6 20 880 282  50 477   4   0  374   1   0   0   1  16   6   0   5   2   0   0  83
A_Aouchiche   24 fra  1  3 13  6 21 899 672  97 440   4   0  342   0   0   0   0   8   3   0   0   2   0   0  83
Pablo_Garcia  20 spa  1  2  6 15 20 250 478  96 751   4   0  374   2   0   0   1   2  25   5   0   0   0   0  83
Brook_Myers   21 eng  1  2  6 14 21 997 644 285  84   4   0  374   0   0   0   1   2  17   2   0   0   0   0  83
M_O'Mahony    22 ire  1  3  5 13 26 997 651 531 744   4   0  339   0   0   0   0   1   8   1   0   2   0   0  93
Connor_May    22 eng  2  3  5 12 22 306 535 441 492   2   2   67   0   0   0   0   0   2   0   0   0   0   0 100
