Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Adam_Mouak    16 fra 12  1  1  1 20 904 120 120 100   1   0   95   0   4   2   0   0   0   0   0   0   0   0 100
Seif_Taha     18 jor  1 13  6  2 38 670 891 843 424   3   0  284   0   0   0   3   2   0   0   0   0   0   0  93
S_Coulibaly   17 fra  1 12  5  1 36 110 768 771 550   1   0   95   0   0   0   1   1   0   0   0   0   0   0  93
E_Mbemba      17 fra  1 12  4  4 20 110 836 800 815   1   0   95   0   0   0   2   0   1   0   0   0   0   0  93
L_Batbedat    17 fra  1 12  4  4 21 220 818 822 800   1   0   95   0   0   0   1   1   0   0   0   0   0   0  93
C_Bouygue     17 fra  1 12  4  4 16 330 920 920 920   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paul_Bourdin  16 fra  1  2 13  5 18 670  99 251 880   1   0   95   0   0   0   1   3   1   0   0   0   0   0  93
M_Jangeal     17 fra  1  2 13  5 20 220 500 526 519   1   0   56   0   0   0   0   2   1   0   0   0   0   0 100
Nahil_Kante   17 fra  1  4 12  4 28 110 700 700 700   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paul_Caumeil  18 fra  1  2 12  4 20 110 600 614 600   1   1   39   0   0   0   0   1   0   0   0   0   0   0 100
A_Laidouni    18 fra  1  4 12  4 28 110 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Ghalleb     17 tun  1  2 12  4 18 220 750 750 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Mbaye       18 fra  1  3  5 13 21 540 324 526 221   1   0   95   0   0   0   0   0   0   0   0   0   0   0  93
D_Marques     18 por  1  3  4 12 28 110 357 800 807   1   0   95   0   0   0   1   0   1   0   0   0   0   0  93
Kais_Anelka   17 fra  1  3  4 12 32 110 330 822 800   1   0   95   0   0   0   0   1   0   0   0   0   0   0  93
Elijah_Ly     17 fra  1  1  4 12 20 220 220 700 712   1   0   45   0   0   0   0   0   1   0   0   0   0   0 100
T_Diagouraga  17 fra  1  1  4 12 18  90 100 500 500   1   1   50   0   0   0   0   0   0   0   0   0   0   0 100
