Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mario_de_Luis 25 spa 13  1  1  1 22 915 218 223 220   3   0  280   0  19   6   0   0   0   0   0   0   0   0 100
Kepa          32 spa 13  1  1  1 30  32 899 962 619   2   0  193   0  12   4   0   0   0   0   0   0   0   0 100
R_Asencio     24 spa  1 13  6  1 38 217 232 233 880   5   0  473   0   0   0   5   5   1   0   0   2   0   0  70
Kike_Ribes    23 spa  1 12  6  2 36 338 929 368  27   5   0  466   0   0   0   9   2   1   0   0  12   0   0  74
Jacobo_Ramon  22 spa  2 12  5  2 36  26 574 145   8   5   0  364   0   0   0   3   4   0   0   0   2   0   0 100
A_De_Castro   20 spa  1 12  5  4 22 711 480 612 303   5   0  473   0   0   0   5   7   4   0   0   0   0   0  70
Michel        21 bra  1 12  5  2 42 260 371 777 481   5   5  109   0   0   0   4   2   0   0   1   0   0   0 100
Lazaro        22 bra  1  3 13  6 22 260 199 784 798   5   0  473   0   0   0   0   4   8   0   2   0   0   0  70
A_David       22 spa  1  4 13  4 26 215  41 729 700   5   0  473   0   0   0   1   5   2   0   0   4   0   0  70
Angel_Gomes   23 eng  1  3 12  5 20 260  85 749 366   5   0  473   0   0   0   1   6   3   0   1   2   0   0  70
Dani_Meso     21 spa  2  5 12  3 25  23 319 450 348   5   0  369   0   0   0   2   4   1   0   0   0   0   0 100
Luis_Gomes    21 spa  1  2 12  5 21 210 752 597 545   5   0  473   0   0   0   0   6   3   0   1   2   0   0  70
Loren_Zuniga  24 spa  1  2  5 13 21 215 648  84 877   5   0  473   2   0   0   1   3  21   5   0   0   0   0  70
P_Pellegri    23 ita  1  3  5 12 24 260  79 265 695   5   5  104   0   0   0   0   0   1   0   0   0   0   0 100
Alvaro_Leiva  20 spa  1  2  5 12 20 761 954 639 430   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alvaro_Gines  21 spa  2  3  5 12 24  43 757 565 383   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
