Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ilan_Jourden  17 fra 13  1  1  1 20 720 220 220 220   1   0   94   0   6   1   0   0   0   0   0   0   0   0 100
M_Fortin      19 fra 12  1  1  1 20 850 110 110 110   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nidal_Celik   19 bos  1 13  5  1 36 110 848 560 271   1   0   94   0   0   0   4   0   2   0   0   0   0   0  93
S_Sagnan      17 fra  1 12  4  4 20 110 780 560 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Ganiou      20 bur  1 12  4  1 36 110 908 939 450   1   0   94   0   0   0   1   1   0   0   1   0   0   0  93
K_Antonio     18 fra  1 12  4  1 34 110 804 750 300   1   0   94   0   0   0   3   0   0   0   0   0   0   0  93
T_Dutot       18 fra  1 12  4  4 20 200 750 750 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fode_Sylla    19 fra  1  5 13  2 38 110 597 780 227   1   0   66   0   0   0   0   1   0   0   0   2   0   0 100
A_Bulatovic   19 mon  1  4 12  4 30  90 347 639 648   1   0   94   0   0   0   0   3   1   1   0   2   0   0  93
B_Sylla       19 fra  1  4 12  2 38 220 887 971 337   1   0   94   0   0   0   0   6   0   0   0   2   0   0  93
K_Doganay     17 fra  1  4 12  2 36 300 950 961 117   1   0   94   0   0   0   0   3   1   0   1   0   0   0  93
Noah_Duclieu  18 fra  1  3 12  4 28 210 220 714 700   1   0   94   0   0   0   0   1   0   0   0   0   0   0  93
K_Diliwidi    19 fra  1  1  4 14 18 110 230 550 930   1   0   94   0   0   0   0   0   5   0   0   0   0   0  93
G_Capuano     19 fra  1  3  4 14 32  90  90 770 951   1   0   94   0   0   0   0   0   7   1   0   0   0   0  93
J_Agbonifo    20 fra  1  1  4 12 20 100 100 672 692   1   1   28   0   0   0   0   1   2   1   0   0   0   0 100
A_Hamdani     17 fra  1  1  4 12 21 100 150 800 800   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
