Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Fran_Gonzalez 20 spa 16  1  1  1 18 693 110 100 110   1   0   96   0   9   2   0   0   0   0   0   0   0   0 100
Aaron_Gomez   18 spa 14  1  1  1 20  10 120 150 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ilya_Voloshyn 19 ukr 12  1  1  1 20 880 120 150 230   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Valdepenas  19 spa  1 16  5  1 36 120 564 550 240   1   0   96   0   0   0   1   0   0   0   0   0   0   0  93
Diego_Aguado  19 spa  1 16  5  1 38 250 674 880 140   1   0   63   0   0   0   1   0   0   0   0   0   0   0 100
T_Cordier     21 fra  1 15  6  5 22 941  45 950 128   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matteo_Motta  21 ita  1 14  6  6 21 712 677 833 418   1   0   96   0   0   0   1   0   1   0   0   0   0   0  93
Kian_Noble    18 eng  1 13  5  3 38 455 244 822  30   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Javi_Mena     18 spa  1 12  4  4 18 220 824 814 847   1   1   33   0   0   0   1   0   1   0   0   0   0   0 100
Javi_Ballon   17 spa  1 12  4  4 22  90 550 500 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joan_Martinez 18 spa  1 11  5  1 36 130 995 366 627   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dilan_Zarate  19 col  1  4 17  6 32 710 937  93 772   1   0   96   0   0   0   0   3   0   0   0   0   0   0  93
I_Gascon      18 spa  1  5 13  2 38 110 275 787 120   1   0   96   0   0   0   0   4   0   0   0   0   0   0  93
Pol_Duran     18 spa  1  4 13  4 26 220 450 528 485   1   1   33   0   0   0   0   1   0   0   0   0   0   0 100
Carlos_Diez   18 arg  1  4 13  4 28 190 660 712 660   1   0   63   0   0   0   0   2   0   0   0   0   0   0 100
Gabri_Valero  18 spa  1  4 12  4 30 110 702 664 612   1   1   33   0   0   0   0   0   2   0   0   0   0   0 100
Adrian_Perez  18 spa  1  2 12  4 20 110 227 973 943   1   0   96   0   0   0   0   2   0   0   0   0   0   0  93
Marcos_Viega  19 spa  1  4 12  3 30 220 220 764 766   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_De_Pieri    19 ita  1  2  6 15 20 834 657 625 330   1   0   63   0   0   0   1   0   1   0   0   0   0   0 100
Noa_Megdad    22 fra  1  1  5 14 18 455 985 859 680   1   0   96   0   0   0   0   0   5   0   0   0   0   0  93
Jose_Reyes    18 spa  1  3  4 12 30 100 127 450 918   1   0   96   0   0   0   1   0   1   0   0   0   0   0  93
