Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Diogo_Pinto   23 por 16  1  1  1 21 871 873 873 873   5   0  468   0  23   3   0   0   0   0   0   0   0   0 100
Pedro_Migueis 22 por 13  1  1  1 22 231 875 880 905   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bruno_Ramos   22 bra  1 15  7  2 36 760 314 703 459   1   0   95   0   0   0   0   0   0   0   0   0   0   0  93
Atanasio      20 por  1 15  7  3 36 773  47  46  69   5   0  358   0   0   0   6   2   0   0   0   0   0   0 100
T_Ferreira    20 por  1 14  6  3 36 895 996 368 396   4   0  373   0   0   0   1   3   1   0   0   0   0   0 100
R_Cabrito     20 por  1 14  7  5 20 631 339 231 845   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Gustavo  21 bra  1 14  7  6 18 813 315 247 949   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
O_Diomande    22 ivo  2 14  5  4 23  90  30  14 613   5   0  468   0   0   0   1   4   5   0   0   2   0   0  73
D_Borges      21 por  2 13  9  5 24   1 526 294 742   3   0  279   0   0   0   4   1   8   0   0   0   0   0 100
Miguel_Alves  20 por  1 13  7  5 20 485 707 135 875   5   5  110   0   0   0   2   0   0   0   0   0   0   0 100
I_Fresneda    21 por  2 12  4  5 20  39 845 980 531   1   0   95   0   0   0   0   0   0   0   0   0   0   0  93
Marlon_Junior 21 bra  1 11  5  2 36 954 736 870 419   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Brito       22 por  1  6 15  4 38 940 496 116 266   5   5  130   0   0   0   0   3   0   0   0   0   0   0 100
Ivanildo      21 hol  1  6 14  3 36 652 283 784 349   5   0  404   2   0   0   1  10   2   1   1   0   0   0  86
Diogo_Abreu   23 por  1  6 14  3 36 903 193 167 533   5   0  402   0   0   0   2   6   1   0   0   0   0   0  91
Rodrigo_Gomes 23 por  2  2 14  7 20 211 384 996 556   5   0  468   0   0   0   1  17   5   0   0   0   0   0  73
Diogo_Cardoso 21 por  1  3 13  7 20 885 932 166 383   5   0  468   0   0   0   0   4  10   1   0   0   0   0  73
G_Santos      21 por  2  4 12  5 20 727 205  22 954   5   0  446   0   0   0   0   6   5   1   2   0   0   0  78
J_Assuncao    22 bra  1  4 11  5 32 959 310 417 587   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Moreira     21 por  1  2  6 15 18 710 406 285 478   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Varela      21 por  2  3  8 14 26   1 736  96  28   1   0   92   1   0   0   0   0  11   2   0   0   0   0 100
Mauro_Couto   21 por  1  2  6 14 18 905 763 712 954   1   0   94   0   0   0   0   0   4   0   0   0   0   0 100
Conrad_Harder 22 den  1  3  6 14 24 699 974 613 308   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Wagner      23 ger  1  4  5 14 24 497 155 341 113   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel_Melo  20 bra  1  4  5 13 28 838 394 184 768   3   0  282   0   0   0   0   3  14   0   0   0   0   0  81
Lucas_Anjos   22 por  2  3  5 12 20 368 928 845 871   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafael_Nel    20 por  1  2  5 12 21 598 700 626 994   1   1   22   0   0   0   0   0   2   0   0   0   0   0 100
