Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Dan_Cameron   21 eng 14  1  1  2 22  84 528 299 207   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Metcalf   19 eng 14  1  1  1 18 800 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Triantis    22 aus  1 14  6  2 36 770 363 180 672   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Beattie     19 eng  1 14  6  3 38 772  81 595 374   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luke_Bell     19 eng  1 14  5  1 38 145 779 655 125   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Robson   18 eng  1  9 14  6 23 620 432 569 273   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jaydon_Jones  19 eng  1  4 14  5 26 120 345 775 345   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Elias_Lenz    20 ger  1  5 14  2 34 130 550 550 120   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Mayenda     22 spa  1  3  4 14 24 856 820 378  51   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_McLeod   17 eng  1  3  6 14 21 605  79 111  65   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rhys_Walsh    19 nir  1  1  5 14 18 140 140 650 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
