Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Gouveia     19 por 17  2  2  2 42 201 279 350 957   1   0   95   0   3   0   0   0   0   0   0   0   0   0 100
Tiago_Leitao  19 por 16  3  4  3 24  74 755  41 644   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Goncalves   19 por 15  1  1  1 21 789 685 785 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diogo_Clara   17 por 12  1  1  1 21 332 665 740 665   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedro_Silva   19 por  1 13  6  5 21 820 538 341 278   1   0   95   0   0   0   0   0   0   0   0   0   0   0  93
D_Correia     17 por  1 13  5  1 36 120 701 880 230   1   0   95   0   0   0   3   0   0   0   0   0   0   0  93
Joao_Rijo     16 por  1 13  4  4 20 220 890 880 880   1   1   24   0   0   0   0   0   0   0   0   0   0   0 100
Duarte_Rosa   17 por  1 13  4  4 18 100 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Quintiaes   18 por  1 13  4  1 38 100 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafael_Mota   18 por  1 12  5  2 38 524 571 808 390   1   0   71   0   0   0   0   0   1   0   0   0   0   0 100
A_M_Cunha     18 por  1 12  5  4 21 654 273 711 651   1   0   95   0   0   0   2   0   1   0   0   0   0   0  93
Pedro_Lopes   19 por  1  6 15  5 28 895 471 390 133   1   0   95   0   0   0   0   2   0   0   0   0   0   0  93
Lucas_Steiner 17 ger  1  5 14  6 21 605 129 202 378   1   0   95   0   0   0   0   0   1   0   0   0   0   0  93
R_Camacho     19 por  1  5 13  5 24 765 152 561 226   1   0   71   0   0   0   1   1   0   0   1   0   0   0 100
S_Nascimento  18 por  1  4 13  4 32 485 717 455 763   1   0   95   0   0   0   1   2   1   0   0   0   0   0  93
Marco_Cruz    18 por  1  4 13  4 26 595 546 415 581   1   0   95   0   0   0   0   1   2   0   0   0   0   0  93
Sandro_Gamboa 17 por  1  4 13  4 28 487 328 125 352   1   1   24   0   0   0   0   1   0   0   0   2   0   0 100
L_Tavares     17 por  1  4 13  4 26 100 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Samuel_Jesus  19 por  1  4  6 16 28 865  76 696 235   1   0   95   1   0   0   0   1   3   2   0   2   0   0  93
Sergio_Siza   17 col  1  1  5 13 18 110 130 750 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Almeida     18 por  1  3  4 13 28  90 450 670 670   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Marques     16 por  1  1  4 13 20 100 600 600 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
