Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Flores      22 spa 14  1  1  1 21 596 365 365 365   4   0  383   0   9   5   0   0   0   0   0   2   0   0 100
Matias_Arbol  17 spa 12  1  1  1 18 766 485 485 465   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Hormogo 23 spa  1 14  6  5 18 465 111 767 101   4   0  234   0   0   0   1   2   2   1   0   0   0   0  93
Robert_Jalade 21 rom  1 13  5  5 32 485 665 906 784   4   2  291   0   0   0   6   2   2   0   0   4   0   0  93
Oso           17 spa  1 13  4  4 21 485 184 594 570   2   0  192   0   0   0   1   1   0   0   0   0   0   0  93
Mario_Diaz    17 spa  1 13  4  1 36 120 668 644 600   3   1  235   0   0   0   4   2   0   0   0   0   0   0  93
R_Martinez    23 spa  1 12  6  2 38 385 888 462  84   2   0  148   0   0   0   1   0   0   0   0   0   0   0 100
Rafa_Obrador  21 spa  1 12  5  4 19 610 591 491 387   2   0  191   0   0   0   1   0   0   0   0   0   0   0 100
D_B_Fuentes   23 spa  1 12  5  4 20 398 292 717 269   3   1  241   0   0   0   7   1   1   0   0   0   0   0 100
Manu_Bueno    21 spa  1  4 14  6 28 377 339   6  73   4   0  332   0   0   0   0   9   8   1   0   0   0   0  85
I_Dominguez   23 spa  1  2 13  5 21 475 565 439 579   4   1  338   0   0   0   0   4   1   0   1   0   0   0  89
Lulo_Dasilva  21 spa  1  5 13  4 34 377 366 444 215   3   1  206   0   0   0   0   3   1   0   1   0   0   0  93
Juan_Cortez   21 mex  1  2 13  5 18 385 585 426 736   2   0  192   0   0   0   0   2   1   0   0   0   0   0  93
Nico_Guillen  17 spa  1  4 13  5 28 385   6  76 287   4   1  301   0   0   0   0  11   3   0   3   0   0   0  80
S_Muzambo     20 bel  1  2 12  5 19 395 728 552 682   2   0  191   0   0   0   0   4   2   1   1   0   0   0 100
L_Sauer       20 slv  1  3  5 14 24 876 713   6 192   4   0  344   0   0   0   2   0   8   2   0   0   0   0  86
Imbrahima_Sow 19 sen  1  3  5 13 30 381 978 411 586   2   0  192   1   0   0   0   1   9   2   0   0   0   0  93
A_Galvan      18 spa  1  3  5 13 26 110 627 600 711   2   0  191   1   0   0   1   0   7   2   0   0   0   0 100
J_Velasco     22 spa  1  1  5 12 20 511 628 519 136   1   1   11   0   0   0   0   0   0   0   0   0   0   0 100
