Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Stefanovic  21 ser 14  1  1  1 18  29 290 290 290   5   0  410   0  21   5   0   0   0   0   0   0   0   0 100
D_Odogu       20 ger  1 15  4  5 20 363 307 822 121   5   0  474   0   0   0   7   5   4   0   0   0   0   0  94
L_Morgalla    22 ger  1 14  6  6 20 349 557 727 490  12   3  763   1   0   0   8   6   5   2   1   0   0   0  94
O_Diomande    22 ivo  2 14  5  4 23  90  62  35 648   6   0  564   0   0   0   3   5   7   0   0   2   0   0  68
D_Bartesaghi  20 ita  1 13  5  4 20  98 143 411 152   8   0  767   0   0   0   9   5   4   0   0   0   0   0 100
Samson_Baidoo 22 aut  1 13  6  1 38 912 844 242 651   5   0  479   1   0   0   8   6   1   0   2   2   0   0  69
Bryan_Okoh    23 swi  1 13  4  2 34 261 233 852  38   5   0  408   0   0   0   3   1   2   0   0   2   1   0  85
A_Martinez    23 spa  1 13  4  5 16 260 588 558 738   4   0  386   0   0   0   9   1   1   0   0   0   0   0  94
K_Carole      22 fra  1 13  5  4 20 806  87 332 173   4   0  386   0   0   0   4   4   3   0   0   2   0   0  93
K_Nede'jkovic 20 ser  1 13  5  5 18 270 433 516 272   1   1   69   0   1   3   0   0   0   0   0   0   0   0 100
Emir_Karic    19 aut  1 13  4  4 20 220 937 880 895   1   1   71   0   0   0   1   0   1   0   0   0   0   0 100
Oumar_Solet   22 fra  1  7 15  3 36 160 262 544 569   5   0  479   0   0   0   4  15   0   0   1   6   0   0  69
K_Alajbegovic 19 bos  1  4 15  7 26 150 481  11 502  12   1 1066   1   0   0   1  17  10   1   0   6   0   0  94
Oscar_Gioukh  22 isr  2  2 14  7 18 130 294 215 753   5   0  447   0   0   0   2   8   4   0   1   2   0   0  78
Ivanildo      21 hol  1  6 14  3 36 652 283 832 365   6   0  500   2   0   0   1  14   3   1   1   0   0   0  80
L_Weinhandl   17 aut  1  3 13  4 28 110 670 696 670   1   0   66   0   0   0   0   2   0   0   0   0   0   0 100
L_G_Douath    23 fra  1  5 13  4 36 696 236 931 901   5   0  452   0   0   0   4   3   3   0   0   2   0   0  74
Patrik_Vydra  23 cze  1  4 12  3 36 239 759 622 210   1   1   32   0   0   0   0   1   0   0   0   2   0   0 100
M_Wagner      23 ger  1  4  5 14 24 497 155 341 113   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Moussa_Yeo    22 mal  1  2  5 13 28 442 832 725 381   2   0  116   0   0   0   0   0   6   1   0   0   0   0 100
C_Campbell    21 usa  1  3  4 13 22 303 754 645 496   2   0  118   0   0   0   0   2   5   0   0   0   0   0 100
J_P_Hodl      19 aut  1  2  4 13 32 120 330 802 865   1   0   93   0   0   0   0   1   8   1   0   0   0   0  94
Petar_Ratkov  23 ser  1  3  5 12 18 445 722 520 388   4   4  184   0   0   0   1   2   8   1   0   0   0   0 100
Marco_Brandt  19 aut  1  3  5 12 28 162 785 272 149   5   5  179   0   0   0   0   2  14   0   0   0   0   0 100
A_Salzer      16 aut  1  3  5 12 21 240 750 427 122   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
