Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Traore      18 fra 16  1  1  1 22  32 550 530 515   1   0   98   0   5   2   0   0   0   0   0   0   0   0 100
G_Chivu       18 rom 15  1  1  1 22 875 555 535 520   2   0  191   0  11   3   0   0   0   0   0   0   0   0 100
C_Tarrega     23 spa  1 16  5  2 38 560 840 858 472   3   0  287   0   0   0   4   2   0   0   0   2   0   0  91
M_Navarro     21 spa  1 15  5  5 18 120 677 677 787   1   0   98   0   0   0   0   0   2   2   0   2   0   0  91
A_De_Ridder   19 bel  1 14  5  5 20 358 581 473 700   1   0   98   0   0   0   2   1   5   0   0   0   0   0  91
O_Bouguerra   20 alg  1 13  6  3 29 670 849  77 873   1   0   64   0   0   0   1   0   0   0   0   0   0   0 100
L_Bovio       17 ita  1 13  5  1 38 110 782 837 357   3   1  225   0   0   0   5   0   0   0   0   0   0   0  97
Martin_Tejon  21 spa  1  1 17  6 22 390 740 146  56   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepelu        26 spa  1  6 16  3 38 370 902 892 693   2   2   41   0   0   0   0   1   0   0   0   0   0   0 100
V_Fernandez   18 spa  1  2 15  5 20 200 200 792 770   1   0   79   0   0   0   0   2   0   0   0   0   0   0  99
M_Benama      21 fra  1  4 15  4 28 210 350 716 356   1   0   98   0   0   0   0   2   1   0   1   0   0   0  91
Lenny_Bendia  17 fra  1  5 14  6 22 590 216 675 364   1   0   98   0   0   0   0   5   0   0   0   0   0   0  91
S_Ben_Seghir  22 fra  1  9 14  5 25 615 284 143 124   1   0   98   1   0   0   0   2   2   1   0   0   0   0  91
Samuel_Edozie 22 eng  1  2  6 16 18 797 545  95 244   1   0   98   0   0   0   0   0   5   1   0   0   0   0  91
Diego_Lopez   23 spa  1  2  5 16 21 320 598 725 878   6   4  289   0   0   0   0   0  13   2   0   0   0   0 100
David_Ortobi  18 spa  1  2  5 15 20 200 210 550 535   1   0   64   0   0   0   0   0   1   1   0   0   0   0 100
