Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Pacileo     17 ita 12  1  1  1 20  50 143 245 245   2   0  192   0   5   3   0   0   0   0   0   0   0   0 100
L_Torriani    21 ita 11  1  1  1 18 157 761 402 552   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Catalano    18 ita 11  1  2  1 22 448 963 143 601   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_M-Cisse     18 sen  1 12  5  1 34 130 879 812 510   2   0  192   0   0   0   3   0   1   0   0   0   0   0  86
M_Cappelletti 19 ita  1 11  4  4 16 650 877 196 987   2   0  192   0   0   0   3   1   3   1   0   0   0   0  86
Kevin_Mazzeo  18 ita  1 11  4  5 18 898 629 867 245   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Vladimirov  18 bul  1 11  4  1 34 118 575 575 575   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Odogu   20 ger  1 11  4  1 30 184 557 843 747   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Diawara     21 fra  1 11  4  1 30 116 521 318 492   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Vechiu      18 rom  1 10  4  1 32 132 969 944 233   2   0  192   0   0   0   3   2   0   0   0   0   0   0  86
L_Calvini     16 ita  1 10  4  4 21 136 843 817 845   2   0  192   0   0   0   0   1   3   0   0   0   0   0  86
A_Cisse       19 ita  1  2 11  5 18 870 424 719 851   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Sala        18 ita  1  4 11  4 26 130 491 715 130   2   0  192   1   0   0   1   8   3   0   1   0   0   0  86
Viana_Seedorf 19 bra  1  4 11  4 28 423 990 191 394   2   0  192   0   0   0   1   2   5   0   0   0   0   0  86
R_Grassini    18 ita  1  3 11  4 26 241 247 580 530   2   0  192   0   0   0   0   7   3   0   0   0   0   0  86
A_Di_Maria    19 ita  1  3 11  4 28 130 461 867 887   2   0  192   0   0   0   0   5   5   0   0   2   0   0  86
F_Pandolfi    18 ita  1  4 11  3 20 245 575 575 575   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Di_Siena    15 bra  1  2 10  4 16 221 241 931 975   2   0  173   0   0   0   0   1   4   0   0   0   0   0  93
A_Guernier    19 fra  1  1  4 11 18 845 993 244 538   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Valenta     18 ita  1  1  4 11 16 637 740 623 423   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Zanaga      18 ita  1  3  4 11 30 132 241 685 685   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Ossola      19 ita  1  2  4 11 20  76 165 790 720   1   1   19   0   0   0   0   0   0   0   0   0   0   0 100
Luca_Menon    17 ita  1  1  4 10 16 118 132 619 988   2   0  165   0   0   0   0   2   7   0   0   0   0   0  93
M_Zaramella   17 ita  1  3  4 10 32 241 245 785 785   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Levis_Asanji  15 ger  1  3  4 10 28 129 355 707 703   1   1   27   0   0   0   0   1   2   0   0   0   0   0 100
