Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Heerkens    20 hol 10  2  1  1 20 151 150 797 592   3   0  284   0   5   4   0   0   0   0   0   0   0   0 100
Luuk_Beerman  18 hol  1 11  5  5 20 223 121  74  30   6   0  533   0   0   0   6   7   1   0   0   0   0   0  80
Lucas_Jetten  18 hol  1 11  4  4 16 700 205 902 758  14   0 1332   0   0   0  16   4  11   1   0   6   0   0  57
A_Bouwman     18 hol  1 11  4  1 34 310 187 971 482  15   0 1420   0   0   0  13   5   2   0   0   6   0   0  55
J_Johnson     19 hol  1 10  5  1 34 375 234 244 449  10   0  947   0   0   0   8   6   2   0   0   0   0   0  57
Ethan_Butera  20 bel  1  9  4  4 18 948 759 514 946   4   2  318   0   0   0   4   0   3   0   0   2   0   0 100
M_Muzunga     18 fra  2  9  4  2 38 156 995 933 377   9   0  860   0   0   0  10   2   5   1   0   2   0   0 100
Jorthy_Mokio  18 bel  1  5 11  2 36 618 628 788 265   9   0  787   1   0   0   1  22   2   0   2   0   0   0  88
D_v_der_Vaart 20 hol  1  3 10  5 28 400 664 333 220  11   0  960   0   0   0   1  14  10   0   0   2   0   0  66
M_Abdalla     16 hol  1  4 10  4 32 823 909 965 574  10   0  921   0   0   0   4  19   7   1   1   2   0   0 100
N_Fernandez   18 bel  1  4 10  4 26 213 865 757 759   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Verkuijl    20 hol  1  5 10  2 32 223  18 923 350   1   1   26   0   0   0   0   1   0   0   0   0   0   0 100
Kayden_Wolf   19 hol  2  2  5 11 16  68 140 562 589  13   3  849   0   0   0   2   7  35   4   0   0   0   0  96
Pharell_Nash  18 hol  1  1  5 10 20 687 419 273 587   7   5  273   0   0   0   1   0  10   0   0   0   0   0 100
D-A_Konadu    20 hol  1  3  4 10 18 523 547 725 627   9   1  738   1   0   0   1   2  40   4   1   2   0   0 100
P_Da_Silva    18 hol  1  3  5 10 26 312 589  23 154   6   1  417   0   0   0   2   2  10   1   0  10   0   0 100
Don_O'Niel    19 hol  1  1  4  9 18 308 310 872 902   8   6  299   0   0   0   0   5  11   0   0   2   0   0 100
