Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Esquivel    20 spa 11  1  1  1 22 207 723 902 361   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Gomez    15 spa  9  1  1  1 18 800 125 123 137   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Julio_Diaz    20 spa  1 10  4  4 16 410 579 533 261   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Aleksa_Puric  22 ser  1 10  5  1 38 658 388 227 604   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Javier_Bonar  20 spa  1 10  4  4 18 865 478 602 952   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Gil      14 spa  1  9  4  3 20 110 825 800 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rayane_Belaid 21 spa  1  2  9  4 12 468 705 906 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Monseratte  20 spa  1  2  9  4 18 533 518 333 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Javi_Morcillo 20 spa  1  4  9  4 26 927  78 516 352   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Najera      23 mex  1  1  5 10 18 397 100 982 882   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Iker_Luque    20 spa  1  1  4 10 20 912 928 760 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Cubo   18 spa  1  3  4  9 18 621 632 172 766   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daniel_Diaz   15 spa  1  1  4  9 21 123 105 775 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
