Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rest        19 fra 10  1  1  1 18 953 540 540 540   4   0  386   0  21   5   0   0   0   0   0   0   0   0 100
Jack_Porter   17 eng 10  1  1  1 22 247 763 942 401   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommy_Setford 20 eng  9  1  1  1 20 874 899 547 342   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Mosquera    21 spa  1 12  4  1 36 820 571 206 489   6   1  507   0   0   0   7   4   2   0   0   2   0   0  84
Marti_Salmon  16 eng  1 10  4  1 36 450 736 570 316   4   1  294   0   0   0   5   0   1   0   0   2   0   0  96
Jaden_Dixon   19 eng  1 10  4  1 38 698 565 286 641   4   1  286   0   0   0   6   1   0   0   0   2   0   0  90
M_Washington  17 eng  1 10  4  3 20 261  21 939 908   4   1  322   0   0   0   5   1   3   0   0   2   0   0  89
O_Scarles     20 eng  1 10  4  4 16 125 565 565 565   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Nicols   19 eng  1  9  4  3 18 905 644 730 992   4   0  324   0   0   0   6   4   0   0   0   0   0   0  94
I_Ibrahim     18 eng  1  4  9  2 32 508 814 582 531   4   1  323   0   0   0   2   7   3   1   0   0   0   0  84
H_Dudziak     20 eng  1  2  9  4 16 573 558 475 196   4   1  332   0   0   0   0   6   1   0   0   0   0   0  85
D_Augustien   18 hol  1  2  9  4 18 967 146 641 442   4   2  271   0   0   0   1   5   3   0   0   0   0   0  91
Louie_Copley  18 eng  1  3  9  4 26 165 618 719 442   4   0  298   1   0   0   0   7   3   0   2   0   0   0 100
Max_Dowman    16 eng  1  1  4 11 18 273 290 490 989   4   0  272   1   0   0   0   3   9   2   0   0   0   0 100
Evan_Mooney   18 sco  1  2  5 10 28 437 168  45 339   4   2  251   0   0   0   1   1   8   1   0   0   0   0  91
A_H-Annous    18 eng  1  2  4 10 30 952 985 861 625   4   2  249   0   0   0   0   2   8   0   0   0   0   0 100
A_Stevens     20 eng  1  1  4  9 20 661 689 229 899   4   0  320   0   0   0   0   0   4   1   0   0   0   0  84
