Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Ferreira    20 por 11  1  2  1 22 318 833  13 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Oliveira    20 por  1 12  6  1 36 520 690  44 771   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jose_Neto     19 por  1 12  4  5 18 768 699 837 215   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Banjaqui    19 por  1 11  5  4 16 188 106 351 788   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Wynder      22 usa  1 11  5  2 38 975 389 113 263   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel_Indio 18 bra  1 10  4  1 32 115 775 775 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Soares      19 por  1 10  4  4 14 230 660 660 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Moreira     21 por  1  3 13  4 18 578 216  47 895   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Rego     21 por  1  2 11  6 20 198 693 867 358   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Veloso   21 por  1  4 11  5 24 187 133 765 121   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Figueiredo  18 por  2  4 10  3 26  38 688 827 962   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Quintas     18 por  1  5 10  2 36  96 335 660 213   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Anisio_Cabral 19 por  1  4  5 12 26 185 243 470 232   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jelani_Dumas  22 bel  2  4  5 11 28  23 239 271 387   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dudu          20 por  1  2  4 10 18 731 143 682 877   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jelani_Dumas  21 bel  1  4  4 10 32 112 335 335 335   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felipe_Lima   20 bra  1  3  4 10 34  55 455 665 789   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
