Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Nils_Ramming  20 swe 13  2  2  1 22 544 114 293 751   3   0  283   0  13   5   0   0   0   0   0   0   0   0 100
Steven_Hall   22 aus 11  1  1  1 18 380 500 502 506   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Noel_Atom     22 ger  1 12  5  1 38 492 400 850 891   3   0  283   0   0   0   0   2   1   0   0   0   0   0  81
Jake_Evans    18 eng  1 12  6  1 34 350 495 579 955   2   0  189   0   0   0   0   3   0   0   2   0   0   0  86
Jacob_Slater  22 ire  1 11  5  4 18 500 338 729 617   3   0  283   0   0   0   4   0   2   1   0   2   0   0  81
C_Penman      21 eng  2 11  5  2 38  49 299 265 564   3   0  180   0   0   0   3   0   3   1   0   2   0   0 100
F_Simmonds    19 eng  2 11  5  3 36 256 300 580  29   3   1  238   0   0   0   0   1   1   0   0   0   0   0  91
Zach_Brennan  18 eng  1  3 12  5 26 338 852 685 748   3   1  238   0   0   0   0   6   0   0   1   0   0   0  97
Kofi_Shaw     20 eng  1  3 12  5 16 923 368 395 326   2   0  186   0   0   0   0   5   2   0   0   0   0   0 100
Harry_Mills   21 eng  1  3 11  6 18 502  54 786 127   2   0  142   0   0   0   0   5   1   0   0   0   0   0  91
Y_Owusu       21 eng  1  5 11  3 36 515 706 632 122   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
J_Robertson   21 eng  1  4 11  4 22 500 221 650 838   1   1   56   0   0   0   1   0   0   0   0   0   0   0 100
Daruis_Lane   19 usa  2  4 11  5 24 318  44 318 458   1   1   49   0   0   0   0   1   0   0   0   0   0   0 100
C_Kostoulas   19 gre  1  4  5 14 26 520  83 568 682   3   0  283   0   0   0   0   1   7   1   0   0   0   0  81
S_Tzimas      21 gre  1  3  5 14 30 393 871 722 483   3   0  283   2   0   0   1   3  11   3   1   0   0   0  81
N_Oriola      19 eng  1  2  5 12 20 483 103 764 712   3   0  193   0   0   0   0   0   2   1   0   0   0   0 100
Joe_Belmont   20 wal  1  4  5 11 32 493  12 697 343   3   2  135   0   0   0   0   1   4   1   0   0   0   0 100
Aidan_West    20 eng  1  2  5 11 16 500 137 620 366   1   1   47   0   0   0   0   0   0   0   0   0   0   0 100
