Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Bruno_Klimek  19 pol 10  1  1  1 22 227 743 922 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Zhuravsky   17 ukr  9  1  1  1 18 900 125 129 128   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Cuevas      18 spa  1  9  4  1 36 430 599 553 281   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Guzman      18 per  1  9  4  1 38 678 408 247 624   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Navarro     18 spa  1  9  4  4 18 885 498 622 972   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Curro_Macias  16 spa  1  9  4  3 20 130 575 570 245   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jose_Ortega   18 spa  1  3 11  5 28 130 240  11  11   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Trebu         18 spa  1  3 10  5 24 240 230  16  14   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fran_Batan    17 spa  1  2  9  3 14 143 795 854 233   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Enzo_Fierro   16 spa  1  3  9  3 26 109 570 615 540   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Doronins    17 lat  1  3  4 10 26 113 143 775 641   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Rodriguez   17 spa  1  2  4  9 24 130 355 795 906   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ruben_Da_Sa   18 spa  1  2  4  9 28 118 576 708 914   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafa_Oya      16 spa  1  1  4  9 20 123 185 570 570   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
