Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Ostrzinski  22 ger 10  1  2  1 22 779 883  63 521   7   0  676   0  34   7   0   0   0   0   0   0   0   0 100
Y_Aktas       23 tur 10  1  1  1 20 131 634 634 634   4   0  384   0  15   9   0   0   0   0   0   0   0   0 100
Filippo_Mane  21 ita  1 11  5  1 36 380 441 325 597  11   3  821   0   0   0  16   8   2   1   1   4   0   0  78
A_Dedic       19 bih  1 11  5  4 22 660 259 882 862  10   0  964   0   0   0  13   5   5   0   0   0   0   0  71
D_Krevsun     21 ukr  1 11  4  1 36 570 250 847 461  10   1  884   0   0   0  15   5   1   0   1   0   0   0  83
Luca_Reggiani 18 ita  1 10  4  1 36 940 719 296 582   8   2  616   0   0   0   7   2   0   0   0   4   0   0  83
Prince_Aning  22 hol  1 10  4  4 18 818 785 448 902   5   0  480   1   0   0  11   2   5   1   0   0   0   0  93
M_Pejazic     21 aut  2  9  5  5 18  26 757 839 174   5   0  481   0   0   0   4   3   3   0   0   2   0   0  93
N_Quiala      20 ger  1  9  5  1 34 158 874 853 302   2   0  195   0   0   0   2   1   0   0   0   2   0   0 100
Nick_Cherny   18 ger  1  4 11  4 30 628 902 486 702  11   0  855   3   0   0   1  20   6   1   5   4   0   0  75
Tony_Reitz    21 ger  1  4 10  2 34 693 672 817 368  11   5  756   1   0   0   0  18   4   0   2   4   0   0  69
F_Paschke     21 ger  1  4 10  2 34 265 798 393 455  11   0  861   0   0   0   2  14   1   0   4   4   0   0  93
T_Fletcher    19 sco  2  4  9  3 32  28 201 749 518   9   4  549   0   0   0   1   8   4   0   0   2   0   0  88
Mussa_Kaba    17 ger  2  4  9  2 36  88 281 995 663  11   6  643   0   0   0   1  14   7   0   2   0   0   0  93
Chida_Obi     18 den  1  3  5 11 32 497 211 635 836   7   1  618   2   0   0   0   2  35   7   0   4   0   0 100
Goncalo_Ramos 18 por  1  1  5 11 18 660 457 862 346  11   6  537   0   0   0   0   5  22   5   0   2   0   0  93
Rodrigo_Rego  21 por  1  1  5 11 20 497 200 126 990   2   0  138   0   0   0   0   2   6   1   0   0   0   0 100
Victor_Musa   19 eng  1  2  4 10 34 721 833 333  35   4   0  361   0   0   0   3   2   7   1   0   0   0   0 100
Mathis_Albert 16 usa  1  1  4 10 18 781 838 349 166   4   1  316   0   0   0   1   0  12   2   0   0   0   0 100
Arne_Wessels  20 ger  1  1  4 10 20 252 382 761 378   9   3  495   2   0   0   1   2  25   3   1   0   0   0 100
Kevin_Mutove  21 ger  1  3  4  9 30 170 505 881 956   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
