Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
B_Speight     20 ger 11  1  1  1 18 243 150 150 173   6   0  567   0  41  12   0   0   0   0   0   0   0   0 100
Yurij_Obert   20 ger  9  1  1  1 22 257 773 952 411   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Elias_Baum    20 ger  1 10  4  4 18 125 996 784 341  10   0  948   0   0   0  11   4   4   0   0   4   0   0  74
J_Maluze      21 ger  1 10  4  1 34 148  72 984 339   3   0  281   0   0   0   3   0   0   0   0   0   0   0  83
F_Doumbia     21 mal  1  9  4  1 36 460 682 639 301   2   0  177   0   0   0   3   3   0   0   0  10   0   0 100
D_Bautista    21 ecu  1  9  4  1 38 708 432 315 648   3   0  286   0   0   0   0   2   0   0   0   4   0   0 100
Maurice_Spahn 19 ger  1  9  4  5 18 915 633 772  76   6   0  567   0   0   0   5   3   4   0   2   0   0   0  66
N_Neuendorff  18 ger  1  9  4  3 10 251 713 661 704   6   0  567   0   0   0   5   4   4   0   0   0   0   0  66
Love_Arrhov   17 swe  1  2 11  5 18 160 287 208 225   6   0  567   1   0   0   0  10   6   2   0   0   0   0  66
Marvin_Dills  19 usa  1  2 10  5 25 518 755 456 435   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eba_Bekir_Is  17 ger  1  4 10  2 36 583 660 610 260   6   0  567   0   0   0   3  12   1   1   1   2   0   0  66
R_Hanashiro   20 jap  1  3 10  4 20 977 155 933 503   6   0  567   0   0   0   1  21   4   1   1   0   0   0  66
J-M_Bahoya    21 fra  1  1  5 12 18 962 995 921 824   9   0  604   0   0   0   0   4  25   2   0   0   0   0 100
Alex_Staff    17 ger  1  3  6 10 30 447 150  53 356   6   6  165   0   0   0   0   1   6   2   0   0   0   0 100
K_Kumashiro   18 jap  1  3  5 10 28 962 995 827 686   6   6  165   1   0   0   0   0   7   2   0   0   0   0 100
D_Starodid    22 ger  1  3  4 10 36 671 679 307 132   6   0  402   2   0   0   0   4  18   4   0   2   0   0 100
A_Gaul-Souza  18 ger  1  2  4  9 34 270 222 688 782   6   0  567   0   0   0   1   2  19   1   1   2   0   0  66
