Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
L_Maddalon    17 ita 11  1  1  1 18 389 720 720 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Turnone     18 ita  1 11  5  1 38  86  95 891 796   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Beldenti    16 ita  1 10  5  1 34 289 589 893 685   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Melani      16 ita  1 10  4  1 32 110 775 645 235   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Turnone     18 ita  1  9  4  2 34  98 880 889 120   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Azenti      19 ita  1  4 11  5 30 327 175 172 299   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Mataran     18 arg  1  5 10  2 36 110 775 700 651   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Angeloni    19 ita  1  1  4 11 12 617 888 801  36   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Forza       18 ita  1  1  4 11 21 841 253 924 353   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Croci       16 ita  1  1  4 10 16 221 109 667 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Egharevba   16 ita  1  3  4 10 34  85  90 778 778   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
