Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Fernandes   21 por 10  1  1  1 22 227 743 922 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Penders     19 bel 10  1  1  1 18 520 520 520 520   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Silva       20 por  9  1  1  1 20 900 143 198 174   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Prpic       21 cro  1 11  4  1 36 113 851 772 210   3   0  276   0   0   0   4   0   0   0   0   2   0   0  97
Martim_Cunha  19 POR  1 10  5  3 18 885 498 122 972   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel_Bas   22 por  1 10  5  1 36 430 779 553 281   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dinis         21 por  1 10  4  4 18 678 408 247 624   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Gomes    21 por  1  9  4  1 36 132 845 833 241   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yoan_Pereira  18 por  1  9  4  3 20  89 925 910 902   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kaue          21 bra  1  4 11  4 26 488 725 926 405   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Andrade     23 ang  1  4 10  2 38 553 538 353 161   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Abreu    17 por  1  3 10  4 30 127 335 389 376   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bernardo_Lima 18 por  1  4  9  4 26 947  98 536 372   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tiago_Silva   18 por  1  4  9  2 34 132 247 676 241   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Anha_Cande    18 por  1  3  5 11 32 417 120   3 902   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Deniz_Gul     21 tur  1  3  4 11 32 123 334 446 475   2   1  105   0   0   0   0   0   3   0   0   0   0   0 100
B_Caicedo     19 col  1  1  4 10 20 932 948 780 496   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Goncalo_Sousa 19 por  1  1  4 10 21 641 652 192 786   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Piet'zewski 18 pol  1  2  4  9 24 102 117 775 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
