Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alain_Taho    19 alb  9  1  2  1 22 337 853  33 491   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Della_Mora  19 ita  1  9  4  3 16 540 709 663 391   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Jakirovic   18 cro  1  9  4  1 38 788 518 357 734   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Bovio       18 ita  1  9  4  2 36 995 608 732  83   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Venturini   19 ita  1  4 10  4 25 598 835 536 515   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_La_Torre    18 ita  1  4 10  2 36 663 648 463 271   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Stankovic   20 ser  1  4 10  2 36 301 858 855 304   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Akinsanmiro 21 nig  1  3  9  4 26 190 305 634 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Mosconi     19 ita  2  4  4 10 32  43  59 890 606   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pinotti     19 ita  1  1  4  9 20 751 762 302 896   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
