Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Amthor      16 ger 10  1  2  1 22 528 843  23 481   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Obaid_Saidi   17 mor  1 10  4  5 20 900 729 701  32   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Ottilinger  17 ger  1 10  5  5 20 230 871 171 171   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Pervetica   17 ger  1 10  5  1 38 210 981 271 850   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Karabulut   16 tur  1 10  4  1 32 128 675 673 670   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Celal_Demir   17 ger  1  3 10  5 25 588 326 727   6   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Edmond_Manga  17 ger  1  3 10  4 20 653 139 654 761   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Guie-Mien   16 ger  2  4 10  2 36  48 698 837 972   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_E_Ayranci   16 tur  1  3 10  4 26 120 231 565 247   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Selim_Cihan   16 tur  1  3  5 10 32 517 720 603 503   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Bedzeti     16 ger  2  3  5 10 28  33 549 381 797   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Fahrenkamp  15 ger  1  3  5 10 36 741 253 782  88   0   0   0    0   0   0   0   0   0   0   0   0   0   0 100
