Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Stawiecki   19 fra 11  1  2  1 22 518 833  13 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Decrenisse  17 fra 10  1  1  1 18 555 233 665 223   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ilane_Toure   20 fra  1 11  4  5 20 890 719 691  22   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bradel_Kiwa   20 fra  1 10  5  1 36 220 861 161 161   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sirak_Bein    19 swi  1 10  5  1 38 200 971 261 840   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Melvin_Gomes  18 fra  1 10  5  1 34 210 775 775 456   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ayman_Assab   18 fra  1  3 11  4 25 578 316 717 995   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_E-Ouaroudi  19 fra  1  3 10  4 20 643 129 644 751   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_D-Ecko      18 fra  2  4 10  3 36  38 688 827 962   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Najd_Ajroud   18 swi  1  1 10  5 18 190 112 880 778   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Anis_Soubeir  19 fra  1  3 10  4 26 110 555 555 555   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oumar_Konate  19 ivo  1  3  5 11 32 507 710 593 493   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Chukwuani   17 den  2  3  5 10 28  23 539 371 787   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Piazenko    18 lit  1  3  4 10 36 731 243 782 107   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yannick_Dodo  19 fra  1  3  4 10 28 112 334 882 882   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Djelloui    18 fra  1  3  4 10 26  98 445 775 775   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
