Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Fred_Heath    19 eng 11  1  1  1 18 512 365 295 295   2   0  190   0  10   3   0   0   0   0   0   0   0   0 100
Will_Murdock  20 nir 11  1  1  1 20 335 293 298 299   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Leon    20 par  1 12  5  5 16 600 191 470 349   2   0  190   1   0   0   2   1   3   1   0   0   0   0  86
Jorge_Salinas 20 spa  1 13  5  5 26 151  25 356 375   2   0  145   0   0   0   2   2   1   0   0   0   0   0 100
Lucas_Jetten  19 hol  1 12  5  5 16 730 526 454 346   2   0  190   0   0   0   5   1   3   0   0   0   0   0  86
Louis_Jackson 21 sco  1 11  5  1 36 292 121 319 753   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Albert_Mills  16 eng  1 10  4  1 32 148 955 830 173   2   2   45   0   0   0   0   0   1   0   0   0   0   0 100
Daniel_Armer  18 eng  1 10  4  2 34 135  16 915 265   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Ibragimov   18 rus  1  4 15  5 28 362 278 130 279   2   0  190   0   0   0   0   4   0   0   1   2   0   0  86
Chris_Rigg    19 eng  1  5 13  6 20 690 355 950 782   2   0  190   0   0   0   0   7   3   0   0   0   0   0  86
Jorthy_Mokio  19 bel  1  6 12  2 36 648 176 220 856   2   0  157   0   0   0   0   6   1   0   0   0   0   0  99
F_Coletta     19 ita  1  4 11  5 28 723 236 181 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jack_Fletcher 20 eng  1  3 10  5 20 658 356 937  10   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Moorhouse   21 ire  1  4 10  4 26 723 109 893 857   1   0   97   0   0   0   0   2   1   0   1   0   0   0  91
Jacob_Devaney 20 ire  1  5 10  2 30 211 318 965 610   1   0   71   0   0   0   0   2   0   0   0   0   0   0 100
C_Orozco      18 col  1  5 10  2 36 251 585 842 624   2   2   55   0   0   0   0   1   2   0   1   0   0   0 100
S_Inacio      19 ita  1  2  6 14 20 647 886 961  59   2   0  190   0   0   0   0   2   8   1   0   0   0   0  86
T_Thompson    19 eng  1  2  5 12 18 188 803 515 340   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kayden_Wolf   20 hol  2  2  6 12 16  98 570  14 735   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Shea_Lacey    20 eng  2  2  5 11 18 103 600 370 976   2   0  190   0   0   0   2   0   5   0   0   2   0   0  86
Kai_Rooney    17 eng  1  1  5 11 16 250 878 523 497   2   0  173   1   0   0   0   1   6   3   0   0   0   0  91
J_J_Gabriel   16 eng  1  3  6 10 26 200 811 292 135   1   1   17   0   0   0   0   1   0   0   1   0   0   0 100
B_Mantato     18 eng  1  1  4 10 16 125 140 585 755   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S-Lusale      18 slo  1  1  4 10 14  55 105 808 855   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
