Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Khadim_Ngom   21 hol 11  1  1  1 20  27 939 587 382   1   0   93   0   7   2   0   0   0   0   0   0   0   0 100
S_Kuijsten    19 hol 10  1  1  1 16 778 125 455 455   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Wessel_Kuhn   20 hol  1 11  5  1 36 520 804  65 771   1   0   93   0   0   0   6   1   0   0   0   0   0   0  94
M_Monamay     21 bel  1 11  4  2 34 768 499 737 115   1   0   93   0   0   0   0   0   0   0   0   0   0   0  94
M_Bresser     20 hol  1 10  5  1 38 975 629 113 504   1   0   93   0   0   0   2   0   2   0   0   0   0   0  94
Floris_Bos    21 hol  1 10  5  1 32 132 958 313 661   1   0   93   0   0   0   1   0   0   0   0   2   0   0  94
Brent_Jonkers 18 bel  1 10  5  1 34  98 779 885 123   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Verhuist    19 hol  1 10  4  4 16 156 880 880 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sol_Sidibe    20 eng  1  4 11  6 28 696 929 421 221   1   0   93   0   0   0   0   1   5   0   0   2   0   0  94
S_Cornecion   18 hol  1  1 11  5 16 190 221   7  26   1   0   93   0   0   0   0   1   2   0   0   0   0   0  94
Jordy_Bawuah  20 bel  1  3 10  4 26 351 987 852 587   1   0   93   0   0   0   0   3   0   0   0   0   0   0  94
J_de_Guzman   20 hol  1  4 10  4 28 220 366 909 381   1   0   93   0   0   0   0   2   1   0   0   0   0   0  94
Jim_Koller    20 hol  1  1 10  5 18 128 553 957 239   1   0   93   0   0   0   0   1   2   0   0   0   0   0  94
Fabio_Kluit   21 hol  1  2  5 10 16 507 628 983 910   1   0   85   0   0   0   1   0   3   0   0  10   0   1  97
Manuel_Bahaty 19 hol  2  2  5 10 12  23 539 371 787   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Austyn_Jones  19 usa  1  4  4 10 28 731 243 782 107   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
