Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
C_Bloedron    20 eng  9  1  1  1 22 297 813 992 451   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Byfield     17 emg  1 11  4  1 36 500 669 623 351   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maeson_King   20 eng  1  9  4  1 38 748 478 317 694   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Calum_Logan   19 eng  1  9  4  4 18 955 568 692  43   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Olusesi     19 eng  1  3 11  4 24 273 297 783 646   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matthew_Craig 23 sco  1  4 10  2 32 200 865 824 646   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dan_Batty     19 eng  1  2  9  4 21 188 868 973 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Wilson  19 sco  1  3  5 11 26 487 190  73 272   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mason_Melia   18 ire  2  4  4 10 32   3  19 850 566   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Max_McFadden  20 eng  1  1  4  9 26 711 722 262 856   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
