Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Yago_Moreira  20 spa 10  1  2  1 22 327 843  23 481   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_I_Valou     20 ivo  1 10  5  1 36 530 699 653 381   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Budesca     20 spa  1 10  4  4 18 778 508 347 724   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lautaro_Spatz 24 arg  1 10  4  2 36 985 598 722  73   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Rodriguez   19 rom  1  9  4  4 18 230 895 895 895   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Macia  17 spa  1  3 11  4 24 303 327 813 676   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Viveros     22 arg  1  2 11  4 21 218 898  34 332   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Diatta      21 sen  1  4 10  3 32 230 895 854 676   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Diatta      21 sen  1  3  9  4 28 141 141 795 796   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hugo_Lopez    19 spa  1  1  5 11 16 517 220 103 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pau_Cabanes   21 spa  2  4  4 10 32  33  49 880 596   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Gaitan      19 spa  1  1  4  9 26 741 752 292 886   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Arenzana    20 spa  1  3  4  9 32 118 685 685 685   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
