Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mason_Terry   21 eng  9  1  1  1 22 237 753 932 391   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ezra_Meyers   19 eng  1 10  5  1 36 440 609 563 291   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Souza    19 bra  1 10  4  1 36 688 418 257 634   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Weverson      17 bra  1  9  4  1 36 895 908 832 982   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Briggs   20 eng  1  9  4  1 36 140 805 805 805   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mohamed_Kante 20 fra  1  4 10  2 34 213 237 723 586   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
George_Earthy 21 eng  1  2 10  4 16 140 805 764 586   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mateo_P_Curci 20 arg  1  2 10  4 20 108 231 835 835   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tobias_Bacar  18 arg  1  1  9  4 21 128 808 913 942   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Cummings    20 sco  1  3  4 10 32 427 130  13 212   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dilan_Gerez   18 arg  1  3  4 10 30 942 958 790   7   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
