Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Orjan_Nyland  34 nor 18  1  1  1 23 434 360 420 850  11   0 1053   0  98  34   0   0   0   0   0   0   0   0 100
D_Mitov       29 hun 16  1  1  1 23 211 353 796 832   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jens_Stryger  33 den  1 16  6  4 28 760 676 634 259  11   0 1053   0   0   0  17   5   3   0   0   2   0   0  55
V_Mykolenko   28 UKR  1 15  7  6 22 572 587 730 647  10   0  957   0   0   0  14   4   4   0   0   6   0   0  56
Jack_Milne    23 sco  1 15  5  6 39 856 646 532 133  11   0 1053   0   0   0  13   2   4   0   0   4   0   0  55
Alex_Jensen   25 den  1 15  5  6 18 588 567 465  66   1   0   96   0   0   0   1   1   0   0   0   0   0   0 100
Lucas_Africo  32 bra  2 14  8  2 36 114 182 100 376   1   1   24   0   0   0   0   0   0   0   0   0   0   0 100
Aaron_Hickey  24 sco  1 14  6  5 17 417 582 197  19   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Rodriguez   33 col  1  4 18  6 29 170 406 130 773  11   0 1053   1   0   0   1  24   3   1   0   0   0   0  55
Richard_Rios  24 col  1  8 16  6 34 520 650 770 530   1   0    7   0   0   0   0   0   0   0   0  10   0   0 100
L_Clarkson    25 eng  1  4 15  6 30 128 365 467 173  11   0 1053   0   0   0   1  17   6   0   0   6   0   0  55
A_Palaversa   26 CRO  1  6 15  2 36 110 857 886 333   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Polvara     26 ita  1  6 15  2 34  90 186 591 409  10   0  957   0   0   0   3  16   0   0   1   8   0   0  56
S_Armstrong   34 sco  1  5 14  4 34 120 790 882 871  11   0 1053   0   0   0   2  20   5   0   1   0   0   0  55
G_Raspadori   24 ita  1  4  6 18 30 140 396 814   1  11   0 1053   0   0   0   2   5  29   1   0   4   0   0  55
J_Karlsson    28 swe  1  2  6 15 20 110 348 775 130   5   1  434   0   0   0   1   1   3   0   0   0   0   0  74
T_Keskinen    23 fin  1  2  6 15 22 210 360 134 525   7   0  619   0   0   0   1   3  19   2   0   2   0   0 100
Kevin_Nisbet  29 sco  1  4  5 15 32 112 399 861  78  11   0 1029   0   0   0   3   5  15   0   0   0   0   0  56
