Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Maignan     31 fra 17  2  2  1 24 379 351 343 411  13   0 1236   0  96  36   0   0   0   0   0   0   0   0 100
L_Torriani    21 ita 13  1  1  1 20 482 255 555 476   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isak_Hien     27 swe  1 17  6  1 38 220 852 520 380   1   0   94   1   0   0   3   1   2   1   0   0   0   0  93
S_Pavlovic    25 ser  1 16  5  1 38 325 307 746 833  11   0 1045   1   0   0  14   5   5   0   1   4   0   0  62
Malick_Thiaw  25 ger  1 16  4  1 38 307  19 942 564  10   0  948   0   0   0   9   9   3   0   0   2   0   0  62
F_Tomori      28 eng  1 15  5  1 36 321 265 432 373  10   0  933   0   0   0   9   6   0   0   0  12   0   0  84
Matteo_Gabbia 27 ita  1 14  4  5 21 308 180 529 346   2   0  190   0   0   0   4   3   1   1   0   0   0   0 100
Luka_Modric   41 cro  1  2 18  7 22 110 353  82 612  13   6  857   0   0   0   0  33  13   0   1   0   0   0  88
Adam_Wharton  22 eng  1  4 18  5 28 110 550 579 574   1   0   94   0   0   0   0   2   1   0   1   0   0   0  93
L_Paqueta     30 BRA  1  2 16  7 21 392 751 106 160   7   0  615   0   0   0   0  23  13   0   0   2   0   0  88
Y_Fofana      27 fra  1  6 16  3 36 385 147 112 432  13   0 1071   0   0   0   4  25   8   1   0   6   0   0 100
Amine_Harit   29 MOR  1  2 16  6 22 352 176 645 535   3   0  247   0   0   0   0   6   3   0   1   2   0   0  93
S_Ricci       25 ita  1  6 15  3 36 236 767 965 509  12   1 1032   0   0   0   2  31   6   0   3   2   0   0 100
Yunus_Musah   24 usa  1  5 15  3 24 454 238 210 665   8   2  639   0   0   0   4  16   5   0   1   2   0   0  88
B_Sesko       23 slo  1  4  6 19 22 510 156 572 481  11   4  778   1   0   0   1   5  46   4   1   0   0   0 100
A_Pinamonti   26 ita  1  4  6 18 26 120 481 770 805   1   0   94   0   0   0   1   0   3   1   0   0   0   0  93
N_Krstovic    25 mon  1  3  5 17 26 180 790 790 851   1   0   94   0   0   0   0   0   5   2   0   0   0   0  93
Joao_Felix    27 por  2  3  6 16 28 136 458 283  53   8   0  739   0   0   0   0   9  28   0   0   4   0   0 100
Tammy_Abraham 29 eng  1  3  5 15 26 326 451  80 656  12   2  923   0   0   0   2   2  35   5   0   2   0   0 100
