Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sten_Kremers  24 hol 24  3  3  3 20 786 209 284 284  13   0 1241   0  99  14   0   0   0   0   0   0   0   0 100
R_Owusu_Oduro 22 hol 16  1  1  1 18  65 460 520 496   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Jetten  22 hol  1 18  7  6 22 990 149 312 269  13   0 1241   0   0   0  13   7  15   2   0   2   0   0 100
Abner         26 bra  1 17  7  6 21 911 279 541 948  13   1  948   0   0   0  11   5   9   0   0   4   0   0 100
Dies_Janse    20 hol  1 17  8  3 36 516 165 519 474  13   0 1192   2   0   0  13  12   3   0   3  10   0   1 100
Kevin_Diks    29 HOL  1 16  7  6 20 556 484 682 763  13   8  519   0   0   0  12   2   7   1   0   0   0   0 100
Ethan_Butera  21 bel  2 15  6  2 40 303 979 169 721  13   4 1015   0   0   0   9   8   4   1   2   4   0   0 100
Oliver_Kalmar 25 hun  1 13  5  1 32 316 148 873 694   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Gravenberch 25 HOL  1  6 20  8 26 783 199 430 234  13   0 1241   0   0   0   2  36  12   2   3   4   0   0 100
Ederson       28 bra  1  5 20  3 36 377 318 410 201  13   0 1241   0   0   0   2  44   6   0   4   4   0   0 100
Andrey_Santos 24 bra  1  4 18  7 20 880 822 743 187  10   0  953   2   0   0   1  30  12   0   6   0   0   0 100
Luis_Hasa     23 ita  1  4 18  8 22 648 593 916 808  12   0 1147   0   0   0   2  33  20   3   5   0   0   0 100
Rida_Chahid   22 hol  2  4 17  5 24 241 879  15 869   1   0   94   0   0   0   0   2   0   0   0   2   0   0 100
Tygo_Land     21 hol  1  5 16  6 26 438 160 122 154   1   0   97   0   0   0   0   0   0   0   0   0   0   0 100
Dani_de_Wit   21 hol  1  2 15  5 26 339 510 257 932   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gilberto_Mora 18 mex  1  2 15  6 18 120 761  17 465   3   1  219   0   0   0   0   4   4   2   0   2   0   0 100
Enzo          23 bra  1  3 14  5 22 420 239 226 185   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marcus_Thuram 29 fra  1  2  7 24 32 676 437 105 392  12   0 1145   2   0   0   0   5  59  12   1   8   0   0 100
Estevao       20 bra  1  4  7 19 21 842 629 148  27  13   0  875   1   0   0   1   5  56   9   1   0   0   0 100
Rayan_Vitor   20 bra  1  2  6 16 19 120 534 305 471  13  12  434   0   0   0   0   1  30   3   0   2   0   0 100
