Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Andre_Onana   31 cam 26  1  2  1 32 673 592 546 680  11   0 1044   0  83   8   0   0   0   0   0   0   0   0 100
S_Soares      24 por 13  1  1  1 20 193 669 957 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Trubin      25 ukr 12  1  1  1 40 138 669 957 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tomas_Araujo  25 POR  2 17 11  4 34 426 422 146 248  11   0  940   0   0   0  10  15   9   2   2   6   0   0 100
Jensen_Seelt  24 hol  2 17 10  4 38 809 511 168 374  11   0 1044   0   0   0  14  10   7   1   0   4   0   0 100
Antonio_Silva 23 POR  1 17  7  3 33 509 279 360 986  11   3  828   0   0   0  15   6   6   2   2   4   0   0 100
Attila_Szalai 27 hun  1 17  5  3 29 880 623 575 189  11   0  988   0   0   0  14   4   3   0   0   6   0   0 100
Ryley_Towler  25 eng  2 16  7  3 38 392  41 186 218   3   3   92   0   0   0   0   0   0   0   0   0   0   0 100
Morata        25 por  1 15  7  2 36 718 573 904 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Dantas      26 por  1  5 21  4 36 640 967 716 840  11   0  998   1   0   0   2  25   9   0   5   4   0   0 100
N_Golo_Kante  33 fra  1  9 19  4 29 600 867 168 556  10   0  935   1   0   0   7  16   6   1   1   0   0   0 100
I_H-Aaroen    22 nor  1  6 19  9 22 635 626 298 266  11   0 1044   1   0   0   3  28  12   1   5   4   0   0 100
James_Garner  26 eng  1  5 19  7 25 842 750 425 174  10   0  947   0   0   0   4  23   5   0   2   0   0   0 100
Joao_Mario    34 por  1  4 18  7 32 967 639 337 207   2   0  191   0   0   0   1   3   5   3   0   0   0   0 100
A_Milambo     22 hol  1  5 18  5 27 220 450   1 455   3   3   59   0   0   0   0   2   0   0   1   0   0   0 100
M_Siopis      29 gre  1  9 16  4 30 600 720  40 420   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Braganca    28 por  1  4 15  5 35 509   7 116 672   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Leonardo    24 bra  1  3  6 25 24 436 126 323 931  11   0 1044   5   0   0   4   6  62  15   1   2   0   0 100
Luis_Semedo   23 por  2  4  5 18 22 180 432 960 999   7   1  485   0   0   0   0   2  20   0   0   2   0   0 100
Rodrygo       26 bra  2  3  7 18 33 219 546  76 373  11   3  785   0   0   0   1   6  44   4   0   2   0   0 100
F_Ioannidis   24 gre  1  4  5 17 31 145 340 701 121   3   3   60   0   0   0   0   1   4   0   0   0   0   0 100
